ZywOo
Player's Team,Player's Opponent,Rounds Won,Rounds Lost,Map,Kills,Deaths,+/-,Rating,Outcome
Vitality,mousesports, 8, 16,vtg,16,18,-2,1.00,Lost
Vitality,mousesports, 14, 16,nuke,25,18,+7,1.31,Lost
Vitality,Complexity, 11, 16,vtg,22,18,+4,1.13,Lost
Vitality,Complexity, 10, 16,nuke,21,18,+3,1.11,Lost
Vitality,fnatic, 16, 8,d2,16,13,+3,1.22,Won
Vitality,fnatic, 16, 13,inf,22,17,+5,1.32,Won
Vitality,FaZe, 16, 10,ovp,21,15,+6,1.40,Won
Vitality,FaZe, 16, 11,d2,14,18,-4,1.05,Won
Vitality,Astralis, 11, 16,d2,20,18,+2,1.09,Lost
Vitality,Astralis, 16, 9,vtg,16,13,+3,1.09,Lost
Vitality,Astralis, 10, 16,nuke,15,18,-3,0.85,Lost
Vitality,Spirit, 14, 16,d2,22,20,+2,1.06,Lost
Vitality,Spirit, 16, 19,inf,35,23,+12,1.67,Lost
Vitality,Spirit, 16, 11,mrg,24,19,+5,1.34,Lost
Vitality,NiP, 16, 12,inf,28,14,+14,1.53,Won
Vitality,NiP, 16, 5,d2,15,10,+5,1.48,Won
Vitality,NiP, 7, 16,mrg,10,14,-4,0.74,Won
Vitality,Heroic, 9, 16,nuke,19,18,+1,1.13,Lost
Vitality,Heroic, 13, 16,inf,23,15,+8,1.26,Lost
Vitality,Heroic, 7, 16,mrg,14,17,-3,0.93,Lost
Vitality,NiP, 16, 13,ovp,34,14,+20,1.92,Won
Vitality,NiP, 16, 7,d2,24,12,+12,1.53,Won
Vitality,Sprout, 16, 8,mrg,26,13,+13,1.49,Won
Vitality,Sprout, 16, 6,vtg,26,10,+16,1.86,Won
Vitality,FaZe, 16, 14,nuke,22,22,0,1.07,Won
Vitality,FaZe, 19, 16,d2,27,20,+7,1.34,Won
Vitality,Astralis, 7, 16,d2,14,19,-5,0.82,Lost
Vitality,Astralis, 8, 16,nuke,9,20,-11,0.63,Lost
Vitality,Heretics, 16, 8,ovp,24,13,+11,1.60,Won
Vitality,Heretics, 16, 13,d2,27,17,+10,1.44,Won
Vitality,BIG, 10, 16,ovp,22,20,+2,1.32,Lost
Vitality,BIG, 10, 16,d2,17,18,-1,1.02,Lost
Vitality,BIG, 16, 11,inf,23,19,+4,1.40,Lost
Vitality,BIG, 8, 16,mrg,17,15,+2,1.08,Lost
Vitality,BIG, 16, 12,d2,24,13,+11,1.50,Won
Vitality,BIG, 16, 13,inf,27,18,+9,1.46,Won
Vitality,BIG, 14, 16,mrg,23,18,+5,1.32,Won
Vitality,OG, 28, 26,ovp,43,39,+4,1.28,Won
Vitality,OG, 16, 9,mrg,12,15,-3,0.98,Won
Vitality,Heroic, 16, 5,inf,27,11,+16,2.15,Won
Vitality,Heroic, 10, 16,mrg,17,20,-3,1.10,Won
Vitality,Heroic, 16, 5,d2,16,7,+9,1.65,Won
Vitality,North, 16, 9,nuke,26,12,+14,1.78,Won
Vitality,North, 16, 10,ovp,18,11,+7,1.36,Won
Vitality,FATE, 16, 3,nuke,16,13,+3,1.49,Won
Vitality,FATE, 16, 2,ovp,22,6,+16,2.02,Won
Vitality,Complexity, 12, 16,nuke,26,21,+5,1.26,Lost
Vitality,Complexity, 16, 19,mrg,34,21,+13,1.58,Lost
Vitality,Complexity, 16, 2,vtg,20,9,+11,2.01,Lost
Vitality,FaZe, 16, 14,d2,23,22,+1,1.25,Won
Vitality,FaZe, 19, 15,nuke,21,19,+2,1.02,Won
Vitality,Natus Vincere, 16, 11,nuke,24,17,+7,1.32,Won
Vitality,Natus Vincere, 16, 6,ovp,15,9,+6,1.24,Won
Vitality,Natus Vincere, 10, 16,inf,15,13,+2,1.34,Won
Vitality,NiP, 16, 13,d2,19,22,-3,1.07,Won
Vitality,NiP, 16, 9,mrg,21,10,+11,1.63,Won
Vitality,FaZe, 9, 16,d2,17,18,-1,0.93,Lost
Vitality,FaZe, 11, 16,nuke,17,20,-3,0.89,Lost
Vitality,G2, 22, 20,mrg,40,24,+16,1.54,Won
Vitality,G2, 16, 5,inf,24,10,+14,2.03,Won
Vitality,NiP, 11, 16,inf,14,21,-7,0.67,Lost
Vitality,NiP, 16, 3,nuke,23,7,+16,1.92,Lost
Vitality,NiP, 5, 16,mrg,19,17,+2,1.33,Lost
Vitality,Heroic, 16, 6,vtg,17,10,+7,1.27,Won
Vitality,Heroic, 16, 9,d2,28,14,+14,1.68,Won
Vitality,Heroic, 10, 16,mrg,19,17,+2,1.16,Won
Vitality,NiP, 16, 11,vtg,36,17,+19,1.94,Won
Vitality,NiP, 16, 14,ovp,21,20,+1,1.25,Won
Vitality,NiP, 7, 16,nuke,13,18,-5,0.77,Won
Vitality,fnatic, 16, 9,inf,26,16,+10,1.57,Won
Vitality,fnatic, 16, 10,nuke,31,11,+20,1.85,Won
Vitality,Dignitas, 16, 11,vtg,34,13,+21,1.93,Won
Vitality,Dignitas, 8, 16,d2,21,16,+5,1.45,Won
Vitality,Dignitas, 16, 5,nuke,22,10,+12,1.65,Won
Vitality,sAw, 11, 16,d2,20,22,-2,0.96,Lost
Vitality,Astralis, 16, 6,nuke,21,12,+9,1.61,Won
Vitality,NiP, 15, 15,inf,29,18,+11,Nil,Nil
Vitality,ENCE, 15, 15,d2,22,20,+2,Nil,Nil
Vitality,ENCE, 16, 9,d2,17,12,+5,1.26,Won
Vitality,ENCE, 16, 6,mrg,22,11,+11,1.61,Won
Vitality,NiP, 16, 4,d2,14,10,+4,1.40,Won
Vitality,NiP, 16, 7,vtg,20,12,+8,1.59,Won
Vitality,Natus Vincere, 9, 16,ovp,19,18,+1,1.10,Lost
Vitality,Natus Vincere, 14, 16,d2,29,22,+7,1.30,Lost
Vitality,Natus Vincere, 16, 8,nuke,19,11,+8,1.41,Lost
Vitality,G2, 14, 16,d2,24,18,+6,1.22,Lost
Vitality,G2, 16, 14,vtg,21,20,+1,1.23,Lost
Vitality,G2, 14, 16,nuke,18,22,-4,0.93,Lost
Vitality,NiP, 19, 17,inf,30,23,+7,1.32,Won
Vitality,NiP, 15, 19,ovp,17,23,-6,0.81,Won
Vitality,NiP, 19, 16,mrg,32,18,+14,1.48,Won
Vitality,GODSENT, 16, 7,inf,24,16,+8,1.50,Won
Vitality,GODSENT, 16, 14,d2,18,21,-3,0.89,Won
Vitality,Heretics, 16, 7,d2,23,15,+8,1.67,Won
