Benkai
Player's Team,Player's Opponent,Rounds Won,Rounds Lost,Map,Kills,Deaths,+/-,Rating,Outcome
Paper Rex,Checkmate, 11, 16,inf,21,22,-1,1.07,Lost
Paper Rex,Checkmate, 9, 16,trn,26,18,+8,1.37,Lost
Paper Rex,Lucid Dream, 5, 16,mrg,11,19,-8,0.66,Lost
Paper Rex,Lucid Dream, 4, 16,d2,19,15,+4,1.37,Lost
Paper Rex,ViCi, 5, 16,mrg,7,18,-11,0.50,Lost
Paper Rex,ViCi, 9, 16,inf,13,16,-3,0.76,Lost
Paper Rex,ViCi, 16, 14,trn,19,20,-1,0.89,Lost
HZ,D13, 8, 16,mrg,22,20,+2,1.23,Lost
HZ,D13, 5, 16,trn,15,18,-3,0.87,Lost
HZ,BTRG, 14, 16,nuke,30,19,+11,1.41,Lost
HZ,BTRG, 10, 16,trn,21,19,+2,1.13,Lost
HZ,Bren, 16, 11,d2,23,15,+8,1.39,Won
HZ,Bren, 20, 22,nuke,23,31,-8,0.83,Won
HZ,Bren, 16, 10,mrg,23,13,+10,1.33,Won
HZ,Lucid Dream, 10, 16,inf,21,16,+5,1.25,Lost
HZ,Lucid Dream, 16, 14,trn,32,16,+16,1.56,Lost
HZ,Lucid Dream, 14, 16,d2,19,21,-2,0.95,Lost
HZ,Maple, 25, 23,nuke,42,30,+12,1.35,Won
HZ,Maple, 16, 6,inf,18,9,+9,1.45,Won
HZ,SGINDOMIX, 16, 13,inf,27,12,+15,1.61,Won
HZ,SGINDOMIX, 16, 6,d2,18,11,+7,1.34,Won
HZ,Maple, 16, 10,mrg,25,18,+7,1.47,Won
HZ,Maple, 16, 14,ovp,19,21,-2,1.09,Won
HZ,Hard4U, 16, 13,mrg,23,23,0,1.12,Won
HZ,Hard4U, 16, 11,d2,17,18,-1,1.11,Won
HZ,Se7en, 16, 9,d2,27,10,+17,1.80,Won
HZ,Se7en, 12, 16,mrg,19,19,0,0.99,Won
HZ,Se7en, 19, 17,inf,29,22,+7,1.29,Won
HZ,Hard4U, 14, 16,d2,17,25,-8,0.86,Lost
HZ,Hard4U, 13, 16,mrg,15,23,-8,0.80,Lost
HZ,Lucid Dream, 16, 14,mrg,19,18,+1,1.01,Won
HZ,Lucid Dream, 6, 16,d2,12,16,-4,0.82,Won
HZ,Lucid Dream, 16, 7,ovp,30,6,+24,2.07,Won
HZ,Bren, 16, 12,trn,14,16,-2,0.88,Won
HZ,Bren, 16, 10,d2,15,17,-2,1.15,Won
HZ,Lucid Dream, 6, 16,nuke,14,15,-1,0.94,Lost
HZ,Lucid Dream, 14, 16,inf,26,19,+7,1.28,Lost
HZ,Lucid Dream, 16, 10,d2,17,13,+4,1.14,Lost
dream[S]cape,NASR, 15, 19,nuke,28,21,+7,1.19,Lost
dream[S]cape,NASR, 9, 16,d2,15,17,-2,0.85,Lost
dream[S]cape,NASR, 19, 16,trn,25,24,+1,1.02,Lost
dream[S]cape,Lucid Dream, 11, 16,trn,19,22,-3,0.89,Lost
dream[S]cape,Lucid Dream, 8, 16,mrg,17,19,-2,0.93,Lost
BOOT,Bren, 14, 16,trn,17,24,-7,0.84,Lost
BOOT,Bren, 17, 19,inf,29,24,+5,1.09,Lost
BOOT,Demise, 16, 10,d2,24,15,+9,1.42,Won
BOOT,Ground Zero, 16, 9,d2,20,16,+4,1.31,Won
BOOT,AUGUST, 9, 16,trn,18,20,-2,0.93,Lost
BOOT,AUGUST, 13, 16,mrg,17,19,-2,0.92,Lost
BOOT,BTRG, 17, 19,d2,33,22,+11,1.31,Lost
BOOT,BTRG, 12, 16,mrg,21,15,+6,1.46,Lost
BOOT,Darkhorse, 19, 16,mrg,39,20,+19,1.68,Won
BOOT,Darkhorse, 16, 4,trn,10,7,+3,1.34,Won
BOOT,Goodfellas, 16, 4,nuke,25,10,+15,1.79,Won
BOOT,VTE, 16, 1,nuke,16,7,+9,1.46,Won
BOOT,GTV.Revolution, 16, 3,d2,19,6,+13,1.74,Won
BOOT,BTRG, 16, 13,nuke,29,19,+10,1.51,Won
BOOT,BTRG, 16, 7,d2,21,11,+10,1.45,Won
BOOT,BTRG, 16, 7,mrg,18,12,+6,1.28,Won
BOOT,Lucid Dream, 12, 16,d2,20,19,+1,1.03,Lost
BOOT,Lucid Dream, 12, 16,mrg,17,18,-1,0.86,Lost
BOOT,Alpha Red, 3, 16,trn,9,17,-8,0.70,Lost
BOOT,Alpha Red, 16, 6,mrg,21,13,+8,1.59,Lost
BOOT,Alpha Red, 11, 16,inf,23,24,-1,1.06,Lost
BOOT,LaZe, 19, 15,trn,23,20,+3,1.13,Won
