BnTeT
Player's Team,Player's Opponent,Rounds Won,Rounds Lost,Map,Kills,Deaths,+/-,Rating,Outcome
Gen.G,Cloud9, 16, 5,nuke,24,13,+11,1.62,Won
Gen.G,Cloud9, 22, 20,d2,31,27,+4,1.14,Won
Gen.G,Liquid, 17, 19,mrg,22,26,-4,0.93,Lost
Gen.G,Liquid, 10, 16,nuke,13,22,-9,0.76,Lost
Gen.G,FURIA, 7, 16,inf,14,18,-4,0.77,Lost
Gen.G,FURIA, 10, 16,nuke,13,19,-6,0.76,Lost
Gen.G,100 Thieves, 16, 6,nuke,22,13,+9,1.53,Won
Gen.G,100 Thieves, 16, 14,vtg,27,21,+6,1.21,Won
Gen.G,Evil Geniuses, 13, 16,inf,17,21,-4,0.88,Lost
Gen.G,Evil Geniuses, 14, 16,d2,18,23,-5,0.93,Lost
Gen.G,Chaos, 6, 16,mrg,9,20,-11,0.59,Lost
Gen.G,Chaos, 10, 16,trn,17,14,+3,1.05,Lost
Gen.G,Triumph, 16, 10,mrg,30,12,+18,1.86,Won
Gen.G,Triumph, 16, 14,inf,24,17,+7,1.40,Won
Gen.G,FURIA, 10, 16,inf,20,21,-1,0.99,Lost
Gen.G,FURIA, 14, 16,trn,17,19,-2,0.85,Lost
Gen.G,100 Thieves, 13, 16,inf,17,19,-2,0.95,Lost
Gen.G,100 Thieves, 16, 11,nuke,17,18,-1,1.01,Lost
Gen.G,100 Thieves, 13, 16,vtg,24,18,+6,1.26,Lost
Gen.G,Evil Geniuses, 14, 16,inf,17,16,+1,0.96,Lost
Gen.G,Evil Geniuses, 4, 16,trn,12,16,-4,0.85,Lost
Gen.G,Liquid, 16, 9,vtg,20,17,+3,1.28,Won
Gen.G,Liquid, 16, 13,mrg,19,20,-1,0.94,Won
Gen.G,Liquid, 13, 16,nuke,28,21,+7,1.19,Won
Gen.G,100 Thieves, 16, 13,vtg,23,20,+3,1.34,Won
Gen.G,100 Thieves, 22, 20,nuke,30,30,0,0.97,Won
Gen.G,Evil Geniuses, 10, 16,inf,15,16,-1,1.07,Lost
Gen.G,Evil Geniuses, 14, 16,trn,21,22,-1,0.97,Lost
Gen.G,Cloud9, 16, 13,nuke,23,17,+6,1.30,Won
Gen.G,Cloud9, 16, 13,inf,22,15,+7,1.14,Won
Gen.G,Cloud9, 5, 16,vtg,11,18,-7,0.82,Won
Gen.G,Chaos, 16, 9,inf,23,15,+8,1.40,Won
Gen.G,Chaos, 16, 8,mrg,16,16,0,1.15,Won
Gen.G,Cloud9, 12, 16,inf,23,21,+2,1.26,Lost
Gen.G,Cloud9, 12, 16,vtg,19,22,-3,1.17,Lost
Gen.G,Liquid, 14, 16,d2,23,24,-1,1.16,Lost
Gen.G,Liquid, 6, 16,mrg,12,20,-8,0.64,Lost
Gen.G,Evil Geniuses, 11, 16,inf,15,20,-5,0.86,Lost
Gen.G,Evil Geniuses, 12, 16,trn,12,23,-11,0.71,Lost
Gen.G,FURIA, 12, 16,inf,19,20,-1,0.89,Lost
Gen.G,FURIA, 10, 16,trn,17,22,-5,0.95,Lost
Gen.G,Triumph, 16, 14,inf,12,21,-9,0.82,Won
Gen.G,Triumph, 17, 19,nuke,29,25,+4,1.09,Won
Gen.G,Triumph, 16, 14,mrg,17,21,-4,0.85,Won
Gen.G,MIBR, 15, 15,trn,21,19,+2,1.09,Tied
Gen.G,FURIA, 8, 16,inf,14,16,-2,1.02,Lost
Gen.G,Chaos, 16, 8,mrg,19,13,+6,1.41,Won
Gen.G,Cloud9, 9, 16,trn,17,19,-2,0.96,Lost
Gen.G,Cloud9, 14, 16,d2,21,22,-1,1.09,Lost
Gen.G,Evil Geniuses, 16, 13,vtg,22,19,+3,1.20,Won
Gen.G,Evil Geniuses, 6, 16,inf,15,18,-3,0.77,Won
Gen.G,Evil Geniuses, 16, 8,trn,22,13,+9,1.44,Won
Gen.G,100 Thieves, 8, 16,ovp,13,18,-5,0.83,Lost
Gen.G,100 Thieves, 14, 16,trn,18,21,-3,0.94,Lost
Gen.G,FURIA, 16, 9,inf,18,12,+6,1.19,Won
Gen.G,FURIA, 12, 16,vtg,20,21,-1,0.97,Won
Gen.G,FURIA, 16, 6,trn,19,13,+6,1.54,Won
Gen.G,Cloud9, 16, 6,trn,17,14,+3,1.30,Won
Gen.G,Cloud9, 13, 16,vtg,19,22,-3,1.06,Won
Gen.G,Cloud9, 16, 10,inf,20,17,+3,0.95,Won
Gen.G,Evil Geniuses, 16, 14,d2,20,23,-3,1.03,Won
Gen.G,Evil Geniuses, 19, 17,nuke,23,28,-5,0.86,Won
Gen.G,Evil Geniuses, 6, 16,trn,12,19,-7,0.81,Won
Gen.G,Cloud9, 9, 16,inf,16,17,-1,1.02,Lost
Gen.G,Cloud9, 9, 16,nuke,6,21,-15,0.41,Lost
Gen.G,Cloud9, 16, 14,trn,27,18,+9,1.43,Lost
Gen.G,Triumph, 16, 8,inf,21,8,+13,1.40,Won
Gen.G,Triumph, 10, 16,d2,20,17,+3,1.08,Won
Gen.G,Triumph, 16, 1,vtg,19,6,+13,1.81,Won
Gen.G,100 Thieves, 16, 10,d2,27,16,+11,1.57,Won
Gen.G,100 Thieves, 16, 10,mrg,23,15,+8,1.35,Won
Gen.G,HAVU, 6, 16,nuke,17,17,0,1.06,Lost
Gen.G,HAVU, 7, 16,d2,15,19,-4,0.81,Lost
Gen.G,HAVU, 22, 20,mrg,34,28,+6,1.25,Lost
Gen.G,FunPlus Phoenix, 16, 10,inf,20,14,+6,1.14,Won
Gen.G,FunPlus Phoenix, 16, 14,mrg,22,21,+1,0.98,Won
Gen.G,Cloud9, 13, 16,nuke,14,18,-4,0.94,Lost
Gen.G,Cloud9, 17, 19,vtg,24,22,+2,1.12,Lost
Gen.G,MIBR, 15, 19,mrg,18,25,-7,0.73,Lost
Gen.G,MIBR, 7, 16,d2,10,21,-11,0.60,Lost
Gen.G,Dignitas, 16, 11,inf,22,13,+9,1.59,Won
Gen.G,Dignitas, 16, 13,d2,21,19,+2,1.05,Won
