KSCERATO
Player's Team,Player's Opponent,Rounds Won,Rounds Lost,Map,Kills,Deaths,+/-,Rating,Outcome
FURIA,Evil Geniuses, 16, 7,nuke,15,13,+2,1.15,Won
FURIA,Evil Geniuses, 16, 5,inf,17,10,+7,1.42,Won
FURIA,Chaos, 3, 16,ovp,18,18,0,1.13,Lost
FURIA,Chaos, 10, 16,inf,17,15,+2,0.99,Lost
FURIA,Chaos, 16, 8,nuke,22,11,+11,1.55,Lost
FURIA,100 Thieves, 8, 16,nuke,14,18,-4,1.06,Lost
FURIA,100 Thieves, 12, 16,trn,15,19,-4,0.85,Lost
FURIA,Gen.G, 16, 7,inf,26,12,+14,1.77,Won
FURIA,Gen.G, 16, 10,nuke,14,13,+1,0.90,Won
FURIA,Evil Geniuses, 16, 14,inf,20,16,+4,1.20,Won
FURIA,Evil Geniuses, 16, 8,nuke,19,11,+8,1.37,Won
FURIA,Liquid, 16, 8,vtg,20,12,+8,1.41,Won
FURIA,Liquid, 16, 8,nuke,16,13,+3,1.29,Won
FURIA,Triumph, 16, 2,inf,15,8,+7,1.44,Won
FURIA,Triumph, 16, 13,trn,24,19,+5,1.18,Won
FURIA,Cloud9, 16, 14,vtg,19,17,+2,0.97,Won
FURIA,Cloud9, 14, 16,inf,14,17,-3,0.94,Won
FURIA,Cloud9, 19, 15,ovp,15,19,-4,0.88,Won
FURIA,Evil Geniuses, 10, 16,nuke,18,17,+1,0.94,Lost
FURIA,Evil Geniuses, 10, 16,vtg,16,15,+1,1.12,Lost
FURIA,100 Thieves, 16, 7,vtg,22,13,+9,1.45,Won
FURIA,100 Thieves, 13, 16,mrg,26,20,+6,1.22,Won
FURIA,100 Thieves, 16, 1,inf,13,6,+7,1.31,Won
FURIA,Gen.G, 16, 10,inf,15,10,+5,1.20,Won
FURIA,Gen.G, 16, 14,trn,30,19,+11,1.35,Won
FURIA,Chaos, 19, 22,inf,28,26,+2,1.15,Lost
FURIA,Chaos, 11, 16,nuke,15,21,-6,0.83,Lost
FURIA,Liquid, 16, 11,inf,13,16,-3,1.02,Won
FURIA,Liquid, 19, 16,nuke,19,19,0,1.03,Won
FURIA,Liquid, 11, 16,vtg,21,20,+1,0.98,Won
FURIA,Chaos, 16, 11,inf,21,16,+5,1.33,Won
FURIA,Chaos, 16, 8,nuke,25,12,+13,1.59,Won
FURIA,TeamOne, 16, 7,nuke,17,9,+8,1.36,Won
FURIA,TeamOne, 9, 16,mrg,14,18,-4,0.83,Won
FURIA,TeamOne, 16, 9,trn,18,13,+5,1.26,Won
FURIA,Yeah, 16, 14,mrg,18,19,-1,0.93,Won
FURIA,Yeah, 16, 2,inf,14,7,+7,1.44,Won
FURIA,Cloud9, 10, 16,trn,25,19,+6,1.23,Lost
FURIA,Cloud9, 16, 1,vtg,17,10,+7,1.63,Lost
FURIA,Cloud9, 10, 16,inf,9,18,-9,0.66,Lost
FURIA,Liquid, 10, 16,nuke,16,15,+1,0.97,Lost
FURIA,Liquid, 8, 16,vtg,16,16,0,0.99,Lost
FURIA,MIBR, 16, 6,inf,22,12,+10,1.55,Won
FURIA,MIBR, 16, 8,vtg,17,9,+8,1.24,Won
FURIA,Evil Geniuses, 13, 16,inf,19,19,0,1.07,Lost
FURIA,Evil Geniuses, 13, 16,vtg,14,20,-6,0.89,Lost
FURIA,Evil Geniuses, 16, 14,nuke,17,15,+2,1.03,Lost
FURIA,Evil Geniuses, 12, 16,trn,20,19,+1,1.08,Lost
FURIA,Evil Geniuses, 14, 16,inf,23,18,+5,1.20,Lost
FURIA,Evil Geniuses, 16, 14,vtg,16,18,-2,0.90,Lost
FURIA,Liquid, 16, 8,mrg,22,11,+11,1.62,Won
FURIA,Liquid, 10, 16,nuke,11,20,-9,0.65,Won
FURIA,Liquid, 16, 10,vtg,20,13,+7,1.41,Won
FURIA,MIBR, 9, 16,vtg,14,15,-1,1.05,Lost
FURIA,MIBR, 14, 16,inf,15,17,-2,0.94,Lost
FURIA,Liquid, 16, 5,vtg,16,9,+7,1.35,Won
FURIA,Liquid, 16, 12,mrg,23,15,+8,1.33,Won
FURIA,100 Thieves, 16, 14,trn,17,18,-1,0.99,Won
FURIA,100 Thieves, 16, 11,vtg,22,10,+12,1.41,Won
FURIA,100 Thieves, 4, 16,inf,8,17,-9,0.69,Won
FURIA,Triumph, 16, 6,mrg,18,8,+10,1.38,Won
FURIA,Triumph, 16, 10,inf,17,16,+1,1.02,Won
