Kaze
Player's Team,Player's Opponent,Rounds Won,Rounds Lost,Map,Kills,Deaths,+/-,Rating,Outcome
ViCi,After, 16, 10,mrg,31,12,+19,1.88,Won
ViCi,After, 16, 1,nuke,13,7,+6,1.67,Won
ViCi,Invictus, 16, 14,nuke,28,14,+14,1.75,Won
ViCi,Invictus, 16, 0,vtg,17,3,+14,2.10,Won
ViCi,TYLOO, 14, 16,ovp,26,18,+8,1.30,Lost
ViCi,TYLOO, 14, 16,inf,25,18,+7,1.25,Lost
ViCi,TYLOO, 16, 12,trn,16,16,0,1.04,Lost
ViCi,Invictus, 19, 15,nuke,22,22,0,0.99,Won
ViCi,Invictus, 16, 10,mrg,15,16,-1,0.91,Won
ViCi,Bren, 16, 14,nuke,25,17,+8,1.28,Won
ViCi,Bren, 16, 13,trn,27,15,+12,1.32,Won
ViCi,BTRG, 16, 10,inf,17,13,+4,1.16,Won
ViCi,BTRG, 16, 11,nuke,22,16,+6,1.31,Won
ViCi,TYLOO, 13, 16,mrg,20,18,+2,1.04,Lost
ViCi,TYLOO, 2, 16,inf,8,15,-7,0.64,Lost
ViCi,TYLOO, 16, 3,vtg,14,9,+5,1.34,Lost
ViCi,Invictus, 16, 13,mrg,26,14,+12,1.51,Won
ViCi,Invictus, 10, 16,nuke,22,16,+6,1.30,Won
ViCi,Invictus, 16, 4,inf,20,6,+14,1.57,Won
ViCi,TYLOO, 6, 16,mrg,11,18,-7,0.68,Lost
ViCi,TYLOO, 19, 16,vtg,24,22,+2,1.17,Lost
ViCi,TYLOO, 14, 16,inf,20,22,-2,0.93,Lost
ViCi,Invictus, 16, 7,trn,18,7,+11,1.60,Won
ViCi,Invictus, 16, 9,nuke,16,11,+5,1.18,Won
ViCi,Invictus, 17, 19,inf,22,22,0,0.86,Won
ViCi,TYLOO, 8, 16,ovp,10,21,-11,0.70,Lost
ViCi,TYLOO, 14, 16,vtg,26,18,+8,1.34,Lost
ViCi,TYLOO, 19, 17,inf,32,17,+15,1.48,Lost
ViCi,TYLOO, 16, 8,mrg,22,10,+12,1.55,Lost
ViCi,Invictus, 19, 15,nuke,31,17,+14,1.30,Won
ViCi,Invictus, 16, 13,vtg,25,16,+9,1.31,Won
ViCi,TYLOO, 13, 16,vtg,21,23,-2,1.10,Lost
ViCi,TYLOO, 3, 16,ovp,11,15,-4,0.86,Lost
ViCi,TYLOO, 16, 8,mrg,23,12,+11,1.47,Lost
ViCi,Invictus, 16, 8,nuke,21,10,+11,1.45,Won
ViCi,Invictus, 16, 4,mrg,15,12,+3,1.17,Won
ViCi,Bren, 16, 4,nuke,20,6,+14,1.84,Won
ViCi,Bren, 19, 17,mrg,23,22,+1,0.99,Won
ViCi,HZ, 16, 11,inf,19,12,+7,1.25,Won
ViCi,HZ, 16, 13,vtg,21,18,+3,1.08,Won
ViCi,Beyond, 16, 3,nuke,24,6,+18,1.95,Won
ViCi,Beyond, 16, 9,trn,26,16,+10,1.66,Won
ViCi,Invictus, 10, 16,vtg,15,14,+1,0.97,Lost
ViCi,Invictus, 4, 16,d2,13,16,-3,0.85,Lost
ViCi,Lucid Dream, 16, 6,nuke,13,9,+4,1.21,Won
ViCi,Lucid Dream, 16, 4,trn,19,7,+12,1.69,Won
ViCi,D13, 16, 7,trn,22,11,+11,1.41,Won
ViCi,D13, 16, 9,nuke,22,12,+10,1.42,Won
ViCi,Beyond, 16, 6,vtg,20,11,+9,1.44,Won
ViCi,Beyond, 16, 13,inf,25,16,+9,1.41,Won
ViCi,Beyond, 14, 16,nuke,21,13,+8,1.24,Won
ViCi,TIGER, 7, 16,inf,11,14,-3,0.87,Lost
ViCi,TIGER, 7, 16,mrg,5,17,-12,0.42,Lost
ViCi,TIGER, 19, 15,nuke,22,19,+3,1.13,Lost
ViCi,Divine Vendetta, 19, 16,nuke,20,22,-2,1.00,Won
ViCi,Divine Vendetta, 16, 14,inf,22,17,+5,1.25,Won
ViCi,Divine Vendetta, 13, 16,mrg,19,16,+3,1.32,Won
ViCi,Invictus, 16, 8,inf,14,10,+4,1.34,Won
ViCi,Invictus, 13, 16,mrg,20,19,+1,1.02,Won
ViCi,Invictus, 16, 5,nuke,27,8,+19,1.99,Won
ViCi,TYLOO, 7, 16,vtg,24,16,+8,1.44,Lost
ViCi,TYLOO, 7, 16,mrg,15,19,-4,0.84,Lost
ViCi,Lucid Dream, 16, 9,mrg,17,14,+3,1.12,Won
ViCi,Lucid Dream, 16, 5,nuke,20,9,+11,1.82,Won
ViCi,Bren, 16, 11,ovp,29,17,+12,1.59,Won
ViCi,Bren, 16, 5,inf,15,9,+6,1.25,Won
ViCi,TYLOO, 11, 16,inf,18,19,-1,1.04,Lost
ViCi,TYLOO, 10, 16,mrg,15,20,-5,0.89,Lost
ViCi,Invictus, 16, 10,inf,16,15,+1,1.00,Won
ViCi,Invictus, 19, 16,nuke,31,18,+13,1.27,Won
ViCi,Invictus, 14, 16,mrg,32,17,+15,1.51,Won
ViCi,TYLOO, 8, 16,trn,15,20,-5,0.75,Lost
ViCi,TYLOO, 12, 16,mrg,19,19,0,0.93,Lost
ViCi,Beyond, 16, 13,inf,24,17,+7,1.20,Won
ViCi,Beyond, 16, 7,trn,26,9,+17,1.87,Won
