NiKo
Player's Team,Player's Opponent,Rounds Won,Rounds Lost,Map,Kills,Deaths,+/-,Rating,Outcome
FaZe,Complexity, 16, 12,d2,27,16,+11,1.72,Won
FaZe,Complexity, 16, 8,nuke,22,15,+7,1.52,Won
FaZe,Complexity, 10, 16,mrg,20,21,-1,1.02,Won
FaZe,NiP, 19, 15,nuke,30,23,+7,1.37,Won
FaZe,NiP, 16, 10,mrg,22,13,+9,1.39,Won
FaZe,Spirit, 10, 16,mrg,14,22,-8,0.75,Lost
FaZe,Spirit, 8, 16,d2,16,19,-3,0.87,Lost
FaZe,Spirit, 16, 12,nuke,21,22,-1,1.11,Lost
FaZe,Vitality, 10, 16,ovp,20,18,+2,1.10,Lost
FaZe,Vitality, 11, 16,d2,20,19,+1,1.21,Lost
FaZe,fnatic, 4, 16,nuke,11,18,-7,0.60,Lost
FaZe,fnatic, 11, 16,inf,15,22,-7,0.90,Lost
FaZe,Astralis, 5, 16,trn,5,19,-14,0.29,Lost
FaZe,Astralis, 7, 16,nuke,13,20,-7,1.00,Lost
FaZe,mousesports, 12, 16,inf,16,17,-1,0.88,Lost
FaZe,mousesports, 13, 16,nuke,17,20,-3,0.95,Lost
FaZe,Vitality, 14, 16,nuke,31,25,+6,1.44,Lost
FaZe,Vitality, 16, 19,d2,23,25,-2,1.05,Lost
FaZe,MIBR, 16, 6,d2,21,14,+7,1.39,Won
FaZe,MIBR, 16, 12,inf,18,18,0,1.12,Won
FaZe,MIBR, 8, 16,trn,20,17,+3,1.13,Won
FaZe,Heroic, 9, 16,mrg,16,18,-2,0.93,Lost
FaZe,Heroic, 10, 16,nuke,11,21,-10,0.66,Lost
FaZe,Movistar Riders, 16, 12,ovp,20,16,+4,1.06,Won
FaZe,Movistar Riders, 16, 4,mrg,19,12,+7,1.60,Won
FaZe,ENCE, 13, 16,ovp,26,19,+7,1.32,Lost
FaZe,ENCE, 13, 16,d2,20,16,+4,1.27,Lost
FaZe,BIG, 9, 16,nuke,16,22,-6,0.87,Lost
FaZe,BIG, 13, 16,d2,24,17,+7,1.38,Lost
FaZe,Heretics, 16, 7,trn,12,13,-1,0.93,Won
FaZe,Heretics, 16, 4,nuke,17,12,+5,1.33,Won
FaZe,BIG, 12, 16,nuke,24,19,+5,1.41,Lost
FaZe,BIG, 10, 16,mrg,14,23,-9,0.84,Lost
FaZe,Vitality, 14, 16,d2,25,20,+5,1.27,Lost
FaZe,Vitality, 15, 19,nuke,27,21,+6,1.24,Lost
FaZe,Complexity, 14, 16,d2,16,23,-7,0.86,Lost
FaZe,Complexity, 11, 16,nuke,19,18,+1,1.17,Lost
FaZe,Vitality, 16, 9,d2,25,13,+12,1.49,Won
FaZe,Vitality, 16, 11,nuke,19,21,-2,1.04,Won
FaZe,ENCE, 16, 5,nuke,21,13,+8,1.67,Won
FaZe,ENCE, 16, 19,mrg,31,25,+6,1.37,Won
FaZe,ENCE, 16, 14,d2,18,17,+1,1.07,Won
FaZe,BIG, 19, 22,mrg,31,34,-3,1.06,Lost
FaZe,BIG, 4, 16,nuke,12,16,-4,0.80,Lost
FaZe,Natus Vincere, 16, 11,d2,11,16,-5,0.81,Won
FaZe,Natus Vincere, 16, 11,mrg,20,15,+5,1.23,Won
FaZe,NiP, 16, 13,inf,27,18,+9,1.45,Won
FaZe,NiP, 8, 16,mrg,20,17,+3,1.19,Won
FaZe,NiP, 16, 9,trn,19,14,+5,1.28,Won
FaZe,BIG, 5, 16,inf,16,16,0,0.93,Lost
FaZe,BIG, 9, 16,nuke,13,21,-8,0.71,Lost
FaZe,Natus Vincere, 12, 15,nuke,28,22,+6,1.53,Lost
FaZe,Natus Vincere, 13, 2,vtg,12,10,+2,1.22,Lost
FaZe,Natus Vincere, 11, 13,inf,8,21,-13,0.66,Lost
FaZe,G2, 13, 3,trn,14,8,+6,1.51,Won
FaZe,G2, 13, 7,inf,10,11,-1,0.83,Won
FaZe,fnatic, 16, 13,ovp,27,22,+5,1.28,Won
FaZe,fnatic, 16, 14,d2,24,19,+5,1.19,Won
FaZe,Spirit, 19, 17,nuke,27,31,-4,1.15,Won
FaZe,Spirit, 19, 15,d2,29,22,+7,1.30,Won
FaZe,Spirit, 7, 16,trn,14,20,-6,0.83,Won
FaZe,GODSENT, 16, 7,d2,23,13,+10,1.69,Won
FaZe,GODSENT, 14, 16,inf,16,19,-3,0.93,Won
FaZe,GODSENT, 16, 12,nuke,25,19,+6,1.40,Won
FaZe,G2, 11, 16,nuke,18,20,-2,1.01,Lost
FaZe,G2, 10, 16,mrg,19,22,-3,1.22,Lost
FaZe,G2, 16, 11,d2,31,17,+14,1.78,Lost
FaZe,Astralis, 7, 16,inf,17,19,-2,1.04,Lost
FaZe,Astralis, 12, 16,d2,15,15,0,0.98,Lost
FaZe,NiP, 19, 16,trn,28,24,+4,1.19,Won
FaZe,NiP, 25, 22,mrg,38,33,+5,1.18,Won
FaZe,NiP, 9, 16,ovp,21,17,+4,1.13,Won
FaZe,c0ntact, 19, 15,d2,34,17,+17,1.71,Won
FaZe,c0ntact, 16, 9,inf,23,14,+9,1.51,Won
FaZe,Copenhagen Flames, 16, 10,trn,19,18,+1,1.01,Won
FaZe,Copenhagen Flames, 16, 5,d2,30,10,+20,2.29,Won
FaZe,Copenhagen Flames, 12, 16,inf,14,21,-7,0.88,Won
FaZe,GODSENT, 16, 11,nuke,20,16,+4,1.12,Won
FaZe,GODSENT, 16, 6,ovp,18,13,+5,1.25,Won
FaZe,mousesports, 16, 7,trn,20,11,+9,1.53,Won
FaZe,mousesports, 16, 10,mrg,19,16,+3,1.12,Won
FaZe,Movistar Riders, 16, 7,inf,18,14,+4,1.30,Won
FaZe,Movistar Riders, 16, 9,mrg,11,18,-7,0.69,Won
FaZe,Movistar Riders, 9, 16,ovp,15,21,-6,0.74,Won
FaZe,G2, 19, 15,d2,27,21,+6,1.27,Won
FaZe,G2, 22, 20,mrg,27,30,-3,0.97,Won
FaZe,North, 16, 11,nuke,20,19,+1,1.14,Won
FaZe,North, 13, 16,inf,11,21,-10,0.89,Won
FaZe,North, 16, 11,ovp,23,12,+11,1.41,Won
FaZe,OG, 16, 12,mrg,24,20,+4,1.35,Won
FaZe,OG, 16, 13,inf,22,14,+8,1.34,Won
FaZe,Natus Vincere, 13, 16,nuke,30,19,+11,1.50,Lost
FaZe,Natus Vincere, 13, 16,trn,25,19,+6,1.34,Lost
FaZe,Natus Vincere, 16, 12,mrg,31,17,+14,1.77,Lost
FaZe,Astralis, 4, 16,ovp,17,16,+1,1.00,Lost
FaZe,Astralis, 17, 19,nuke,27,25,+2,1.08,Lost
FaZe,mousesports, 12, 16,d2,16,18,-2,1.06,Lost
FaZe,mousesports, 16, 9,trn,23,20,+3,1.43,Lost
FaZe,mousesports, 4, 16,nuke,14,16,-2,0.88,Lost
FaZe,fnatic, 6, 16,inf,18,16,+2,1.01,Lost
FaZe,fnatic, 11, 16,ovp,20,19,+1,1.11,Lost
FaZe,fnatic, 16, 8,mrg,21,12,+9,1.46,Lost
FaZe,forZe, 16, 10,nuke,24,20,+4,1.21,Won
FaZe,forZe, 16, 4,inf,22,12,+10,1.69,Won
FaZe,OG, 16, 7,nuke,22,13,+9,1.62,Won
FaZe,OG, 16, 7,d2,16,9,+7,1.14,Won
FaZe,Virtus.pro, 16, 13,mrg,30,22,+8,1.60,Won
FaZe,Virtus.pro, 16, 11,ovp,24,14,+10,1.36,Won
FaZe,G2, 12, 16,trn,18,23,-5,0.96,Lost
FaZe,G2, 16, 11,d2,21,15,+6,1.32,Lost
FaZe,G2, 14, 16,nuke,19,24,-5,0.86,Lost
FaZe,mousesports, 12, 16,d2,20,16,+4,1.19,Lost
FaZe,mousesports, 14, 16,trn,28,24,+4,1.27,Lost
FaZe,mousesports, 16, 9,nuke,26,15,+11,1.59,Lost
FaZe,TYLOO, 16, 8,mrg,20,18,+2,1.22,Won
FaZe,TYLOO, 16, 10,inf,12,14,-2,1.10,Won
FaZe,Natus Vincere, 14, 16,inf,17,19,-2,1.13,Lost
FaZe,Natus Vincere, 6, 16,d2,11,18,-7,0.66,Lost
FaZe,Natus Vincere, 16, 8,nuke,28,18,+10,1.80,Lost
FaZe,Vitality, 16, 10,inf,17,11,+6,1.41,Won
FaZe,Vitality, 16, 11,nuke,22,15,+7,1.25,Won
FaZe,Vitality, 14, 16,mrg,16,20,-4,0.97,Won
FaZe,Renegades, 16, 10,mrg,18,17,+1,1.16,Won
FaZe,Renegades, 16, 12,inf,21,19,+2,1.13,Won
FaZe,Natus Vincere, 10, 16,ovp,16,19,-3,0.83,Lost
FaZe,Natus Vincere, 14, 16,d2,29,17,+12,1.44,Lost
FaZe,Natus Vincere, 16, 9,nuke,22,20,+2,1.24,Lost
FaZe,Liquid, 16, 2,d2,19,10,+9,1.57,Won
FaZe,Liquid, 16, 9,mrg,24,16,+8,1.43,Won
FaZe,Liquid, 16, 5,inf,16,8,+8,1.34,Won
FaZe,Liquid, 16, 12,d2,24,17,+7,1.51,Won
FaZe,NiP, 16, 8,mrg,24,12,+12,1.59,Won
FaZe,NiP, 16, 7,ovp,22,13,+9,1.59,Won
FaZe,ENCE, 16, 12,nuke,24,14,+10,1.53,Won
FaZe,ENCE, 12, 16,d2,8,16,-8,0.72,Won
FaZe,ENCE, 16, 10,mrg,16,19,-3,1.20,Won
FaZe,ARCY, 16, 12,d2,14,17,-3,0.92,Won
FaZe,ARCY, 16, 14,nuke,15,16,-1,0.94,Won
FaZe,Liquid, 10, 16,nuke,15,19,-4,0.93,Lost
FaZe,Liquid, 16, 12,d2,16,17,-1,1.05,Lost
FaZe,Liquid, 13, 16,mrg,23,18,+5,1.15,Lost
FaZe,NiP, 7, 16,mrg,13,21,-8,0.66,Lost
FaZe,NiP, 13, 16,vtg,17,20,-3,0.87,Lost
FaZe,100 Thieves, 7, 16,mrg,16,15,+1,1.16,Lost
FaZe,100 Thieves, 16, 12,d2,16,18,-2,0.93,Lost
FaZe,100 Thieves, 11, 16,inf,17,22,-5,0.95,Lost
FaZe,TYLOO, 16, 7,mrg,29,13,+16,1.98,Won
FaZe,TYLOO, 16, 5,d2,17,8,+9,1.68,Won
FaZe,TYLOO, 7, 16,inf,13,19,-6,0.86,Won
FaZe,MIBR, 12, 16,mrg,22,19,+3,1.24,Lost
FaZe,fnatic, 16, 9,trn,27,19,+8,1.52,Won
FaZe,fnatic, 7, 16,inf,17,19,-2,0.92,Won
FaZe,fnatic, 16, 5,ovp,23,10,+13,1.71,Won
FaZe,HellRaisers, 16, 14,d2,22,19,+3,1.11,Won
FaZe,HellRaisers, 16, 13,ovp,18,17,+1,0.97,Won
FaZe,Vitality, 16, 12,mrg,24,16,+8,1.32,Won
FaZe,Vitality, 16, 11,inf,28,14,+14,1.43,Won
FaZe,Astralis, 2, 16,nuke,10,12,-2,0.87,Lost
FaZe,Astralis, 0, 16,d2,3,16,-13,0.33,Lost
FaZe,Evil Geniuses, 19, 16,d2,29,20,+9,1.30,Won
FaZe,Evil Geniuses, 14, 16,inf,24,21,+3,1.16,Won
FaZe,Evil Geniuses, 16, 12,nuke,24,18,+6,1.36,Won
FaZe,Vitality, 3, 16,inf,8,17,-9,0.52,Lost
FaZe,Vitality, 16, 6,ovp,17,14,+3,1.10,Lost
FaZe,Vitality, 9, 16,nuke,20,17,+3,1.25,Lost
FaZe,Evil Geniuses, 16, 6,d2,19,10,+9,1.59,Won
FaZe,Evil Geniuses, 16, 7,nuke,26,10,+16,1.73,Won
FaZe,NiP, 16, 12,d2,20,13,+7,1.30,Won
FaZe,NiP, 19, 17,nuke,26,26,0,1.05,Won
FaZe,Liquid, 5, 16,inf,13,17,-4,0.93,Lost
FaZe,Cloud9, 16, 14,inf,23,19,+4,1.26,Won
FaZe,NiP, 16, 3,d2,21,9,+12,1.71,Won
FaZe,Natus Vincere, 16, 9,nuke,27,16,+11,1.73,Won
FaZe,Astralis, 16, 2,inf,18,10,+8,1.64,Won
