Sico
Player's Team,Player's Opponent,Rounds Won,Rounds Lost,Map,Kills,Deaths,+/-,Rating,Outcome
Renegades,Chiefs, 16, 2,vtg,17,7,+10,1.66,Won
Renegades,Chiefs, 16, 14,d2,16,20,-4,0.93,Won
Renegades,ORDER, 16, 11,nuke,17,17,0,0.90,Won
Renegades,ORDER, 14, 16,d2,17,15,+2,1.06,Won
Renegades,ORDER, 16, 10,vtg,21,18,+3,1.23,Won
Renegades,Chiefs, 16, 4,vtg,13,10,+3,1.05,Won
Renegades,Chiefs, 16, 14,d2,19,18,+1,1.10,Won
Renegades,Downfall, 16, 8,inf,17,9,+8,1.33,Won
Renegades,Downfall, 16, 7,mrg,20,7,+13,1.64,Won
Renegades,Rooster, 16, 8,nuke,26,9,+17,1.74,Won
Renegades,Rooster, 16, 11,inf,26,11,+15,1.58,Won
Renegades,AVANT, 16, 13,mrg,12,19,-7,0.78,Won
Renegades,AVANT, 16, 10,d2,14,17,-3,1.10,Won
Renegades,ORDER, 16, 10,d2,25,13,+12,1.53,Won
Renegades,ORDER, 16, 14,vtg,24,22,+2,1.26,Won
Renegades,Chiefs, 16, 4,vtg,11,9,+2,0.93,Won
Renegades,Chiefs, 16, 1,nuke,17,5,+12,1.72,Won
Renegades,Rooster, 16, 9,nuke,19,13,+6,1.18,Won
Renegades,Rooster, 16, 7,inf,10,11,-1,1.13,Won
Renegades,Rooster, 16, 8,mrg,22,14,+8,1.47,Won
Renegades,AVANT, 16, 4,mrg,16,10,+6,1.21,Won
Renegades,AVANT, 16, 9,nuke,23,17,+6,1.48,Won
Renegades,AVANT, 16, 11,d2,10,17,-7,0.77,Won
Renegades,AVANT, 16, 12,mrg,22,16,+6,1.24,Won
Renegades,AVANT, 13, 16,nuke,13,22,-9,0.69,Won
Renegades,ORDER, 19, 17,vtg,30,19,+11,1.26,Won
Renegades,ORDER, 16, 10,mrg,18,12,+6,1.16,Won
Renegades,Rooster, 16, 5,inf,21,12,+9,1.50,Won
Renegades,Rooster, 9, 16,nuke,14,17,-3,0.88,Won
Renegades,Rooster, 16, 10,ovp,15,13,+2,1.14,Won
Renegades,ORDER, 12, 16,nuke,12,22,-10,0.73,Lost
Renegades,ORDER, 16, 10,vtg,13,13,0,1.03,Lost
Renegades,ORDER, 13, 16,inf,10,16,-6,0.71,Lost
Renegades,TRUCKERS WITH ATTITUDE, 16, 9,nuke,21,14,+7,1.31,Won
Renegades,TRUCKERS WITH ATTITUDE, 16, 8,d2,17,14,+3,1.05,Won
Renegades,Paradox, 16, 4,vtg,16,7,+9,1.41,Won
Renegades,Paradox, 16, 10,mrg,16,13,+3,1.23,Won
Renegades,AVANT, 16, 11,inf,21,13,+8,1.25,Won
Renegades,AVANT, 16, 3,d2,13,8,+5,1.32,Won
Renegades,TRUCKERS WITH ATTITUDE, 6, 16,inf,10,17,-7,0.78,Lost
Renegades,TRUCKERS WITH ATTITUDE, 14, 16,vtg,10,19,-9,0.69,Lost
Renegades,AVANT, 16, 11,inf,11,16,-5,0.71,Won
Renegades,AVANT, 16, 10,mrg,29,14,+15,1.66,Won
