XANTARES
Player's Team,Player's Opponent,Rounds Won,Rounds Lost,Map,Kills,Deaths,+/-,Rating,Outcome
BIG,ENCE, 16, 12,inf,25,18,+7,1.29,Won
BIG,ENCE, 10, 16,nuke,22,16,+6,1.24,Won
BIG,ENCE, 16, 14,d2,26,16,+10,1.49,Won
BIG,GODSENT, 16, 7,nuke,15,14,+1,0.99,Won
BIG,GODSENT, 22, 19,mrg,25,31,-6,0.91,Won
BIG,GODSENT, 15, 19,vtg,23,23,0,1.06,Won
BIG,G2, 16, 4,nuke,20,10,+10,1.48,Won
BIG,G2, 16, 11,d2,18,18,0,1.15,Won
BIG,G2, 14, 16,vtg,14,20,-6,0.96,Won
BIG,Heroic, 14, 16,nuke,17,19,-2,0.95,Lost
BIG,Heroic, 7, 16,ovp,15,16,-1,0.93,Lost
BIG,Heroic, 16, 14,mrg,18,19,-1,0.97,Lost
BIG,Natus Vincere, 17, 19,nuke,21,25,-4,0.85,Lost
BIG,Natus Vincere, 11, 16,d2,15,21,-6,0.88,Lost
BIG,OG, 16, 14,d2,19,20,-1,1.11,Won
BIG,OG, 16, 11,inf,28,17,+11,1.55,Won
BIG,AGO, 16, 7,d2,19,11,+8,1.31,Won
BIG,AGO, 16, 14,vtg,18,20,-2,1.06,Won
BIG,NiP, 7, 16,mrg,7,19,-12,0.50,Lost
BIG,NiP, 26, 28,nuke,33,36,-3,0.98,Lost
BIG,NiP, 16, 5,vtg,18,15,+3,1.24,Lost
BIG,Sprout, 16, 19,nuke,31,29,+2,1.15,Lost
BIG,Sprout, 12, 16,mrg,14,24,-10,0.69,Lost
BIG,Heroic, 16, 12,inf,14,13,+1,1.08,Won
BIG,Heroic, 16, 11,ovp,26,18,+8,1.40,Won
BIG,OG, 16, 14,mrg,23,19,+4,1.21,Won
BIG,OG, 16, 10,d2,26,12,+14,1.55,Won
BIG,OG, 9, 16,inf,14,19,-5,0.87,Won
BIG,Heroic, 16, 10,d2,19,18,+1,1.16,Won
BIG,Heroic, 16, 14,inf,25,17,+8,1.21,Won
BIG,Endpoint, 16, 3,mrg,30,10,+20,2.51,Won
BIG,Endpoint, 22, 18,d2,22,27,-5,0.86,Won
BIG,Endpoint, 13, 16,vtg,20,20,0,1.07,Won
BIG,Vitality, 16, 10,ovp,23,18,+5,1.26,Won
BIG,Vitality, 16, 10,d2,19,19,0,1.05,Won
BIG,Vitality, 11, 16,inf,31,17,+14,1.65,Won
BIG,Vitality, 16, 8,mrg,10,12,-2,0.95,Won
BIG,OG, 16, 5,mrg,18,12,+6,1.31,Won
BIG,OG, 9, 16,inf,15,17,-2,0.88,Won
BIG,OG, 16, 7,d2,16,14,+2,1.31,Won
BIG,Vitality, 12, 16,d2,19,20,-1,0.95,Lost
BIG,Vitality, 13, 16,inf,18,18,0,1.13,Lost
BIG,Vitality, 16, 14,mrg,18,22,-4,1.02,Lost
BIG,fnatic, 16, 10,nuke,30,16,+14,1.55,Won
BIG,fnatic, 16, 13,ovp,22,20,+2,1.29,Won
BIG,GODSENT, 16, 8,ovp,17,16,+1,1.18,Won
BIG,GODSENT, 16, 9,d2,16,14,+2,1.01,Won
BIG,FaZe, 16, 9,nuke,19,10,+9,1.37,Won
BIG,FaZe, 16, 13,d2,16,16,0,0.84,Won
BIG,OG, 14, 16,mrg,16,20,-4,0.88,Lost
BIG,OG, 11, 16,inf,15,18,-3,0.75,Lost
BIG,OG, 16, 9,d2,26,12,+14,1.57,Lost
BIG,FaZe, 16, 12,nuke,21,19,+2,0.97,Won
BIG,FaZe, 16, 10,mrg,24,13,+11,1.46,Won
BIG,Complexity, 16, 14,inf,18,17,+1,1.16,Won
BIG,Complexity, 16, 7,mrg,27,13,+14,1.73,Won
BIG,HAVU, 16, 7,mrg,26,12,+14,1.62,Won
BIG,HAVU, 16, 14,nuke,32,18,+14,1.65,Won
BIG,forZe, 16, 4,d2,22,5,+17,1.83,Won
BIG,forZe, 16, 7,inf,27,13,+14,1.56,Won
BIG,Spirit, 16, 1,nuke,14,8,+6,1.70,Won
BIG,Spirit, 16, 7,inf,18,13,+5,1.29,Won
BIG,G2, 19, 17,mrg,28,26,+2,1.17,Won
BIG,G2, 16, 6,d2,18,10,+8,1.35,Won
BIG,G2, 16, 5,nuke,11,15,-4,0.95,Won
BIG,G2, 6, 16,vtg,12,16,-4,0.82,Won
BIG,FaZe, 22, 19,mrg,38,28,+10,1.38,Won
BIG,FaZe, 16, 4,nuke,11,9,+2,1.10,Won
BIG,Virtus.pro, 16, 13,mrg,20,20,0,0.97,Won
BIG,Virtus.pro, 12, 16,vtg,12,22,-10,0.70,Won
BIG,Virtus.pro, 16, 9,d2,23,13,+10,1.32,Won
BIG,G2, 7, 16,mrg,13,19,-6,0.93,Lost
BIG,G2, 16, 6,d2,16,13,+3,1.06,Lost
BIG,G2, 5, 16,nuke,8,16,-8,0.51,Lost
BIG,FaZe, 16, 5,inf,16,8,+8,1.41,Won
BIG,FaZe, 16, 9,nuke,15,10,+5,1.13,Won
BIG,Sprout, 9, 16,mrg,14,21,-7,0.84,Lost
BIG,Sprout, 16, 19,d2,28,18,+10,1.20,Lost
BIG,Unicorns of Love, 16, 5,nuke,14,15,-1,1.05,Won
BIG,Unicorns of Love, 16, 4,d2,11,10,+1,1.14,Won
BIG,ALTERNATE aTTaX, 16, 8,mrg,24,15,+9,1.53,Won
BIG,ALTERNATE aTTaX, 16, 3,vtg,17,8,+9,1.73,Won
BIG,Complexity, 16, 11,d2,22,13,+9,1.48,Won
BIG,Complexity, 16, 11,vtg,22,15,+7,1.38,Won
BIG,Complexity, 18, 22,mrg,31,29,+2,0.99,Won
BIG,Unicorns of Love, 16, 13,d2,13,23,-10,0.85,Won
BIG,Unicorns of Love, 16, 8,vtg,21,13,+8,1.26,Won
BIG,mousesports, 16, 2,d2,19,6,+13,1.96,Won
BIG,mousesports, 16, 14,vtg,16,24,-8,0.93,Won
BIG,mousesports, 20, 22,nuke,32,26,+6,1.13,Won
BIG,MAD Lions, 16, 13,vtg,18,19,-1,0.96,Won
BIG,MAD Lions, 16, 7,nuke,18,12,+6,1.32,Won
BIG,MAD Lions, 11, 16,mrg,8,21,-13,0.48,Won
BIG,Gambit Youngsters, 14, 16,vtg,20,21,-1,0.94,Lost
BIG,Gambit Youngsters, 8, 16,d2,11,16,-5,0.86,Lost
BIG,Winstrike, 16, 5,mrg,21,7,+14,1.76,Won
BIG,Winstrike, 16, 8,vtg,20,16,+4,1.28,Won
BIG,Complexity, 10, 16,d2,13,19,-6,0.69,Lost
BIG,Complexity, 19, 17,nuke,26,21,+5,1.08,Lost
BIG,Complexity, 16, 19,inf,22,26,-4,0.97,Lost
BIG,SMASH, 16, 9,nuke,18,17,+1,1.13,Won
BIG,SMASH, 16, 13,ovp,22,19,+3,1.12,Won
BIG,SMASH, 12, 16,d2,24,18,+6,1.23,Won
BIG,Apeks, 16, 5,d2,22,14,+8,1.53,Won
BIG,Apeks, 16, 8,ovp,20,14,+6,1.41,Won
BIG,Secret, 16, 13,nuke,16,18,-2,1.09,Won
BIG,Secret, 16, 8,d2,16,14,+2,1.17,Won
BIG,Endpoint, 16, 13,d2,27,10,+17,1.53,Won
BIG,SMASH, 16, 4,d2,14,12,+2,1.10,Won
BIG,SMASH, 16, 7,mrg,25,11,+14,1.66,Won
BIG,Copenhagen Flames, 16, 4,nuke,21,10,+11,1.82,Won
BIG,Copenhagen Flames, 16, 7,d2,17,13,+4,1.27,Won
BIG,Nordavind, 16, 12,d2,18,18,0,1.00,Won
BIG,Nordavind, 16, 3,nuke,14,8,+6,1.44,Won
BIG,AGO, 16, 10,mrg,22,18,+4,1.26,Won
BIG,AGO, 16, 7,inf,21,13,+8,1.60,Won
BIG,AGO, 10, 16,nuke,18,16,+2,1.00,Won
BIG,SMASH, 10, 16,mrg,17,19,-2,0.91,Lost
BIG,SMASH, 11, 16,nuke,20,21,-1,0.96,Lost
BIG,SMASH, 16, 4,inf,21,10,+11,1.62,Lost
BIG,Singularity, 16, 9,trn,23,16,+7,1.48,Won
BIG,Spirit, 16, 4,mrg,23,11,+12,1.81,Won
BIG,Spirit, 10, 16,inf,19,18,+1,1.07,Won
