XELLOW
Player's Team,Player's Opponent,Rounds Won,Rounds Lost,Map,Kills,Deaths,+/-,Rating,Outcome
Nexus,Singularity, 16, 4,vtg,10,13,-3,0.95,Won
Nexus,Nemiga, 16, 12,mrg,30,17,+13,1.53,Won
Nexus,Endpoint, 16, 5,d2,22,9,+13,1.90,Won
Nexus,PACT, 7, 16,inf,30,14,+16,1.90,Lost
Nexus,SKADE, 16, 6,d2,14,16,-2,0.96,Won
Nexus,Secret, 8, 16,d2,11,20,-9,0.54,Lost
Nexus,Secret, 4, 16,inf,11,18,-7,0.71,Lost
Nexus,Secret, 16, 9,mrg,16,13,+3,1.26,Lost
Nexus,HellRaisers, 16, 14,inf,20,17,+3,1.01,Won
Nexus,HellRaisers, 16, 13,vtg,12,20,-8,0.73,Won
Nexus,HellRaisers, 13, 16,d2,17,18,-1,0.98,Won
Nexus,CR4ZY, 16, 14,inf,22,16,+6,1.19,Won
Nexus,CR4ZY, 7, 16,nuke,19,17,+2,1.16,Won
Nexus,CR4ZY, 16, 9,d2,29,10,+19,1.95,Won
Nexus,HellRaisers, 10, 16,inf,22,21,+1,1.13,Lost
Nexus,HellRaisers, 6, 16,vtg,11,16,-5,0.69,Lost
Nexus,HellRaisers, 16, 13,mrg,25,20,+5,1.33,Lost
Nexus,Apeks, 16, 4,mrg,29,8,+21,2.37,Won
Nexus,Apeks, 19, 17,nuke,28,27,+1,1.09,Won
Nexus,HellRaisers, 13, 16,d2,14,20,-6,0.70,Lost
Nexus,forZe, 22, 20,d2,42,32,+10,1.46,Won
Nexus,SG.pro, 4, 16,vtg,15,17,-2,0.79,Lost
Nexus,SG.pro, 13, 16,mrg,19,23,-4,1.01,Lost
Nexus,SG.pro, 16, 14,trn,23,19,+4,1.16,Lost
Nexus,HellRaisers, 7, 16,mrg,15,19,-4,0.88,Lost
Nexus,HellRaisers, 11, 16,trn,18,22,-4,0.90,Lost
Nexus,FATE, 16, 14,inf,21,20,+1,1.22,Won
Nexus,FATE, 16, 9,vtg,29,13,+16,1.71,Won
Nexus,FATE, 15, 19,trn,29,26,+3,1.11,Won
Nexus,Unicorns of Love, 16, 11,nuke,21,19,+2,1.09,Won
Nexus,Unicorns of Love, 16, 8,inf,25,14,+11,1.61,Won
Nexus,CeX, 16, 9,inf,26,15,+11,1.38,Won
Nexus,CeX, 16, 3,d2,20,8,+12,1.92,Won
Nexus,CeX, 12, 16,ovp,16,24,-8,0.77,Won
Nexus,x6tence, 13, 16,trn,13,19,-6,0.75,Lost
Nexus,MAD Lions, 16, 6,inf,29,13,+16,2.01,Won
Nexus,SJ, 14, 16,ovp,25,21,+4,1.22,Lost
Nexus,SJ, 17, 19,mrg,41,23,+18,1.66,Lost
Nexus,HellRaisers, 14, 16,mrg,29,21,+8,1.31,Lost
Nexus,HellRaisers, 14, 16,inf,26,20,+6,1.26,Lost
Nexus,Tikitakan, 16, 12,inf,26,17,+9,1.42,Won
Nexus,Tikitakan, 10, 16,d2,16,19,-3,0.79,Won
Nexus,Tikitakan, 16, 10,mrg,22,15,+7,1.25,Won
Nexus,BLUEJAYS, 12, 16,mrg,22,20,+2,1.08,Lost
Nexus,BLUEJAYS, 8, 16,ovp,19,19,0,1.06,Lost
Nexus,Lyngby Vikings, 16, 14,trn,26,20,+6,1.39,Won
Nexus,Lyngby Vikings, 16, 14,vtg,32,18,+14,1.50,Won
Nexus,Berzerk, 9, 16,d2,12,20,-8,0.67,Lost
Nexus,Berzerk, 9, 16,trn,18,17,+1,1.07,Lost
Nexus,Berzerk, 16, 8,mrg,23,14,+9,1.47,Lost
Nexus,Giants, 19, 16,inf,19,18,+1,1.08,Won
Nexus,Giants, 16, 11,d2,34,15,+19,1.92,Won
Nexus,sAw, 6, 16,inf,16,18,-2,0.96,Lost
Nexus,sAw, 16, 8,d2,26,14,+12,1.63,Lost
Nexus,sAw, 16, 19,vtg,24,24,0,1.13,Lost
Nexus,BIG Academy, 16, 5,d2,21,11,+10,1.83,Won
Nexus,BIG Academy, 16, 14,mrg,25,18,+7,1.27,Won
Nexus,BIG Academy, 10, 16,ovp,14,21,-7,0.66,Won
Nexus,Baecon, 16, 12,inf,27,16,+11,1.37,Won
Nexus,Baecon, 16, 3,mrg,25,10,+15,2.01,Won
Nexus,LDLC, 16, 6,vtg,19,14,+5,1.32,Won
Nexus,LDLC, 16, 14,d2,17,19,-2,0.92,Won
Nexus,LDLC, 11, 16,trn,25,20,+5,1.42,Won
Nexus,LDLC, 11, 16,d2,20,19,+1,1.11,Lost
Nexus,LDLC, 17, 19,trn,19,21,-2,1.02,Lost
Nexus,TheDice, 16, 14,d2,23,20,+3,1.26,Won
Nexus,TheDice, 16, 4,mrg,18,10,+8,1.69,Won
Nexus,Wisla Krakow, 16, 19,mrg,28,24,+4,1.25,Lost
Nexus,Wisla Krakow, 9, 16,trn,14,22,-8,0.68,Lost
Nexus,AVEZ, 13, 16,ovp,15,22,-7,0.82,Lost
Nexus,AVEZ, 9, 16,trn,20,18,+2,1.09,Lost
Nexus,sAw, 11, 16,vtg,16,18,-2,0.91,Lost
Nexus,sAw, 7, 16,d2,10,17,-7,0.70,Lost
Nexus,sAw, 16, 7,trn,15,11,+4,1.11,Lost
Nexus,Winstrike, 16, 12,vtg,27,16,+11,1.42,Won
Nexus,Winstrike, 16, 12,mrg,24,23,+1,1.22,Won
Nexus,HellRaisers, 16, 12,vtg,23,20,+3,1.17,Won
Nexus,HellRaisers, 16, 13,d2,24,19,+5,1.28,Won
Nexus,AGF, 1, 16,inf,9,14,-5,0.61,Lost
Nexus,AGF, 9, 16,vtg,11,23,-12,0.61,Lost
Nexus,HellRaisers, 19, 17,inf,33,24,+9,1.44,Won
Nexus,HellRaisers, 16, 8,trn,17,14,+3,1.14,Won
Nexus,HellRaisers, 10, 16,mrg,22,21,+1,1.09,Won
Nexus,JackBoyz, 16, 8,trn,17,12,+5,1.18,Won
Nexus,JackBoyz, 10, 16,vtg,26,20,+6,1.18,Won
Nexus,JackBoyz, 16, 8,mrg,16,14,+2,1.31,Won
Nexus,JackBoyz, 16, 7,d2,17,15,+2,1.16,Won
Nexus,LF Org, 19, 16,mrg,30,26,+4,1.25,Won
Nexus,LF Org, 16, 5,d2,21,9,+12,1.89,Won
Nexus,LF Org, 13, 16,trn,23,19,+4,1.22,Won
Nexus,Syman, 11, 16,inf,11,20,-9,0.64,Lost
Nexus,Syman, 9, 16,ovp,17,21,-4,0.80,Lost
Nexus,Syman, 22, 20,vtg,35,30,+5,1.20,Lost
Nexus,Sinners, 16, 10,inf,16,19,-3,0.91,Won
Nexus,Sinners, 16, 13,mrg,25,16,+9,1.28,Won
Nexus,Illuminar, 16, 11,inf,17,19,-2,1.05,Won
Nexus,Illuminar, 16, 11,trn,17,19,-2,0.98,Won
Nexus,HAVU, 8, 16,ovp,9,20,-11,0.47,Lost
Nexus,HAVU, 16, 14,d2,25,20,+5,1.17,Lost
Nexus,HAVU, 14, 16,mrg,24,22,+2,1.19,Lost
Nexus,SKADE, 14, 16,inf,27,19,+8,1.38,Lost
Nexus,SKADE, 16, 8,mrg,34,13,+21,2.18,Lost
Nexus,SKADE, 13, 16,ovp,24,21,+3,1.14,Lost
Nexus,SKADE, 14, 16,ovp,12,23,-11,0.66,Lost
Nexus,SKADE, 13, 16,inf,25,21,+4,1.28,Lost
Nexus,Budapest Five, 16, 14,trn,19,21,-2,0.98,Won
Nexus,Budapest Five, 13, 16,mrg,22,20,+2,1.07,Won
Nexus,Budapest Five, 16, 14,inf,23,24,-1,0.97,Won
Nexus,ARYO, 16, 9,inf,20,17,+3,1.16,Won
Nexus,ARYO, 16, 7,ovp,17,11,+6,1.22,Won
Nexus,ARYO, 13, 16,trn,22,23,-1,0.94,Won
Nexus,ARYO, 6, 16,mrg,11,18,-7,0.55,Won
Nexus,cooL, 16, 9,nuke,26,15,+11,1.68,Won
Nexus,cooL, 19, 16,vtg,29,23,+6,1.37,Won
Nexus,Dawn of Stars, 16, 6,trn,18,13,+5,1.28,Won
Nexus,Dawn of Stars, 16, 9,inf,27,14,+13,1.62,Won
Nexus,Dawn of Stars, 12, 16,ovp,9,23,-14,0.54,Won
Nexus,Salamander, 14, 16,inf,24,22,+2,1.06,Lost
Nexus,Salamander, 16, 6,mrg,19,13,+6,1.35,Lost
Nexus,Salamander, 16, 19,nuke,29,27,+2,1.17,Lost
Nexus,Budapest Five, 14, 16,inf,15,19,-4,0.90,Lost
Nexus,Doxa, 16, 9,mrg,17,18,-1,1.13,Won
Nexus,Doxa, 16, 9,inf,19,16,+3,1.25,Won
Nexus,RedFear.wild, 16, 1,mrg,15,8,+7,1.52,Won
Nexus,RedFear.wild, 16, 11,trn,22,16,+6,1.30,Won
Nexus,Copenhagen Flames, 5, 16,trn,16,18,-2,1.08,Lost
Nexus,Copenhagen Flames, 7, 16,ovp,14,20,-6,0.85,Lost
Nexus,Copenhagen Flames, 16, 12,mrg,24,17,+7,1.42,Lost
Nexus,Virtus.pro, 11, 16,mrg,19,18,+1,1.20,Lost
Nexus,devils.one, 9, 16,mrg,9,19,-10,0.50,Lost
Nexus,Unicorns of Love, 16, 14,cch,29,16,+13,1.58,Won
Nexus,HoP, 12, 16,mrg,12,25,-13,0.55,Lost
Nexus,Bojestvata, 5, 16,inf,17,19,-2,1.06,Lost
Nexus,pro100, 2, 16,mrg,12,15,-3,0.90,Lost
Nexus,GamePub, 16, 4,cch,19,8,+11,1.51,Won
Nexus,Windigo, 10, 16,trn,19,17,+2,0.97,Lost
Nexus,Windigo, 9, 16,mrg,17,20,-3,0.96,Lost
Nexus,KUURA, 16, 10,mrg,23,15,+8,1.29,Lost
Nexus,KUURA, 9, 16,d2,13,21,-8,0.79,Lost
Nexus,Knock Out, 16, 4,nuke,16,12,+4,1.33,Won
Nexus,Knock Out, 16, 3,mrg,20,9,+11,1.62,Won
Nexus,RedFear, 16, 5,mrg,20,11,+9,1.52,Won
Nexus,RedFear, 16, 10,ovp,21,17,+4,1.15,Won
Nexus,Knock Out, 10, 16,cch,21,19,+2,1.06,Lost
Nexus,Knock Out, 15, 19,mrg,23,26,-3,1.02,Lost
Nexus,Tricked, 2, 16,trn,7,18,-11,0.52,Lost
Nexus,Tricked, 16, 7,inf,22,12,+10,1.51,Lost
Nexus,Tricked, 12, 16,mrg,20,20,0,1.00,Lost
Nexus,Beyond, 16, 12,cch,22,18,+4,1.25,Won
Nexus,Beyond, 9, 16,mrg,19,18,+1,1.04,Won
Nexus,Beyond, 16, 14,d2,31,21,+10,1.51,Won
Nexus,HAVU, 5, 16,mrg,16,19,-3,1.07,Lost
Nexus,HAVU, 5, 16,nuke,14,20,-6,0.89,Lost
Nexus,Aequus, 16, 5,mrg,22,11,+11,1.71,Won
Nexus,Aequus, 16, 11,inf,21,17,+4,1.30,Won
Nexus,Invictus, 16, 13,mrg,17,20,-3,1.05,Won
Nexus,Invictus, 16, 9,inf,23,16,+7,1.35,Won
Nexus,Berzerk, 16, 3,inf,22,9,+13,1.91,Won
Nexus,Beyond, 16, 9,mrg,22,15,+7,1.38,Won
Nexus,EURONICS, 17, 19,ovp,28,24,+4,1.19,Lost
Nexus,EURONICS, 13, 16,inf,19,26,-7,0.93,Lost
Nexus,EURONICS, 16, 6,mrg,23,16,+7,1.64,Lost
Nexus,Arena Bulls, 16, 9,ovp,22,17,+5,1.58,Won
Nexus,Arena Bulls, 8, 16,inf,11,21,-10,0.60,Won
Nexus,Arena Bulls, 16, 14,cch,26,15,+11,1.35,Won
Nexus,FCDB, 16, 2,cch,19,5,+14,1.87,Won
NOM,topnotcheu, 5, 16,mrg,12,19,-7,0.74,Lost
Nexus,Bpro, 12, 16,mrg,21,22,-1,0.99,Lost
Nexus,Bpro, 5, 16,ovp,10,19,-9,0.44,Lost
Nexus,Endpoint, 19, 16,inf,25,20,+5,1.39,Won
Nexus,Endpoint, 8, 16,ovp,19,20,-1,1.01,Won
Nexus,Endpoint, 16, 12,mrg,21,19,+2,1.11,Won
Nexus,DreamEaters, 16, 12,trn,28,16,+12,1.49,Won
Nexus,No Quarter Cartel, 16, 14,ovp,25,20,+5,1.36,Won
Nexus,No Quarter Cartel, 16, 13,mrg,27,21,+6,1.42,Won
Nexus,ALTERNATE aTTaX, 5, 16,inf,11,16,-5,0.79,Lost
Nexus,ALTERNATE aTTaX, 16, 2,mrg,21,7,+14,1.89,Lost
Nexus,ALTERNATE aTTaX, 8, 16,ovp,31,17,+14,1.82,Lost
Nexus,Lyngby Vikings, 16, 7,trn,23,15,+8,1.59,Won
Nexus,Lyngby Vikings, 3, 16,inf,5,17,-12,0.38,Won
Nexus,Lyngby Vikings, 16, 3,cch,13,8,+5,1.35,Won
Nexus,Vulture, 16, 4,mrg,20,12,+8,1.80,Won
Nexus,Vulture, 16, 4,inf,16,12,+4,1.34,Won
Nexus,unknown, 5, 16,inf,13,18,-5,0.95,Lost
Nexus,Nova Academy, 16, 2,mrg,24,10,+14,2.13,Won
Nexus,Bpro, 19, 15,cch,30,20,+10,1.38,Won
Nexus,Bpro, 16, 12,mrg,23,18,+5,1.28,Won
Nexus,Bpro, 8, 16,d2,14,22,-8,0.76,Won
Nexus,Endpoint, 8, 16,ovp,10,17,-7,0.69,Lost
Nexus,Endpoint, 10, 16,mrg,17,19,-2,1.11,Lost
Nexus,Tricked, 9, 16,inf,17,20,-3,1.01,Lost
Nexus,ALTERNATE aTTaX, 22, 20,mrg,34,27,+7,1.13,Won
Nexus,Defusekids, 8, 16,inf,15,18,-3,0.94,Lost
Nexus,LDLC, 2, 16,d2,7,18,-11,0.45,Lost
Nexus,fish123, 12, 16,mrg,25,22,+3,1.18,Lost
Nexus,Forge, 16, 2,trn,11,9,+2,1.26,Won
Nexus,x-kom, 16, 6,mrg,17,10,+7,1.46,Won
Nexus,Izako Boars, 13, 16,mrg,23,17,+6,1.25,Lost
Nexus,Bpro, 14, 16,cch,25,19,+6,1.25,Lost
Nexus,Bpro, 11, 16,mrg,20,17,+3,1.07,Lost
Nexus,ENCE, 14, 16,ovp,20,19,+1,1.19,Lost
Nexus,ENCE, 4, 16,mrg,6,18,-12,0.41,Lost
Nexus,PLINK, 16, 12,mrg,27,18,+9,1.38,Won
Nexus,PLINK, 16, 8,nuke,20,12,+8,1.25,Won
Nexus,k1ck, 16, 8,mrg,23,13,+10,1.57,Won
Nexus,k1ck, 16, 12,trn,29,16,+13,1.51,Won
Nexus,Wind and Rain, 16, 9,cch,25,19,+6,1.44,Won
Nexus,PLINK, 16, 3,mrg,16,11,+5,1.36,Won
Nexus,SinnerS, 16, 2,trn,18,7,+11,1.67,Won
Nexus,SinnerS, 17, 19,cch,21,26,-5,0.79,Won
Nexus,SinnerS, 16, 9,mrg,21,13,+8,1.42,Won
Nexus,Jail On Shooting, 16, 13,inf,33,23,+10,1.63,Won
Nexus,Jail On Shooting, 16, 11,cch,12,20,-8,0.73,Won
Nexus,toxic, 16, 5,inf,27,9,+18,2.10,Won
Nexus,Winstrike, 16, 13,mrg,21,16,+5,Nil,Nil
Nexus,Winstrike, 6, 16,inf,13,18,-5,Nil,Nil
Nexus,KlikTech, 16, 12,inf,24,18,+6,1.16,Won
Nexus,KlikTech, 16, 4,mrg,23,10,+13,1.79,Won
Nexus,HEADSHOTBG, 16, 9,trn,19,14,+5,1.35,Won
Nexus,HEADSHOTBG, 16, 11,mrg,20,13,+7,1.28,Won
Nexus,x-kom, 16, 13,trn,30,19,+11,Nil,Nil
Nexus,x-kom, 4, 16,mrg,15,18,-3,Nil,Nil
Nexus,Bpro, 16, 11,mrg,26,14,+12,1.44,Won
Nexus,Windigo, 10, 16,mrg,22,22,0,1.26,Lost
Nexus,Bajini Puleni, 16, 13,inf,27,16,+11,1.48,Won
Nexus,MK, 16, 0,inf,13,3,+10,1.72,Won
Nexus,GameAgents, 16, 8,inf,19,12,+7,1.36,Won
Nexus,MK, 4, 16,inf,14,15,-1,1.01,Lost
Nexus,Bajini Puleni, 16, 11,trn,28,14,+14,1.64,Won
Nexus,Windigo, 4, 16,trn,3,20,-17,0.23,Lost
Nexus,Invictus Aquilas, 13, 16,nuke,24,24,0,Nil,Nil
Nexus,Spirit, 11, 16,nuke,25,21,+4,1.23,Lost
Nexus,Spirit, 16, 19,cch,28,23,+5,1.16,Lost
Nexus,GameAgents, 12, 16,inf,30,18,+12,1.70,Lost
Nexus,Invictus Aquilas, 16, 7,mrg,22,16,+6,1.36,Won
Nexus,Ha MaSSe, 6, 16,mrg,20,18,+2,Nil,Nil
Nexus,Ha MaSSe, 16, 9,nuke,21,15,+6,Nil,Nil
Nexus,Valiance, 11, 16,mrg,16,23,-7,0.75,Lost
Nexus,PRIDE, 16, 13,cch,30,21,+9,1.45,Won
Nexus,PRIDE, 16, 13,inf,11,19,-8,0.88,Won
Nexus,Playing Ducks, 16, 10,mrg,25,19,+6,1.36,Won
Nexus,Playing Ducks, 16, 5,inf,25,12,+13,1.82,Won
Nexus,Bpro, 16, 12,inf,24,17,+7,1.36,Won
Nexus,Valiance, 1, 16,inf,12,15,-3,0.93,Lost
Nexus,Fragsters, 5, 16,trn,11,20,-9,0.67,Lost
Nexus,Fragsters, 10, 16,cch,18,20,-2,0.92,Lost
Nexus,Red Reserve, 16, 11,cch,30,19,+11,1.53,Won
Nexus,Vexed, 16, 10,inf,21,19,+2,1.25,Won
Nexus,LDLC, 11, 16,mrg,25,19,+6,1.33,Lost
Nexus,LDLC, 4, 16,nuke,20,17,+3,1.11,Lost
Nexus,Izako Boars, 16, 6,mrg,24,10,+14,1.78,Won
Nexus,Bajini Puleni, 19, 17,cbl,31,28,+3,1.20,Won
Nexus,Bajini Puleni, 16, 9,inf,22,14,+8,1.36,Won
Nexus,KlikTech, 16, 5,mrg,19,15,+4,1.34,Won
Nexus,KlikTech, 16, 4,inf,14,10,+4,1.28,Won
Nexus,fnatic Academy, 14, 16,cch,27,19,+8,1.34,Lost
Nexus,GameAgents, 16, 13,cbl,25,21,+4,1.26,Won
Nexus,Bajini Puleni, 5, 16,inf,15,16,-1,1.10,Lost
Nexus,EPG, 12, 16,mrg,28,22,+6,1.38,Lost
Nexus,EPG, 5, 16,nuke,9,18,-9,0.48,Lost
Nexus,Izako Boars, 16, 13,nuke,22,16,+6,1.20,Won
Nexus,Royal Bandits, 11, 16,inf,26,15,+11,1.42,Lost
Nexus,Royal Bandits, 12, 16,mrg,16,21,-5,0.89,Lost
Nexus,LDLC, 3, 16,cch,13,17,-4,0.96,Lost
Nexus,Nemiga, 20, 22,inf,37,31,+6,1.27,Lost
Nexus,Nemiga, 11, 16,cbl,19,19,0,1.08,Lost
Nexus,Berzerk, 16, 9,mrg,28,11,+17,2.05,Won
Nexus,Berzerk, 16, 6,cch,22,13,+9,1.58,Won
Nexus,Berzerk, 6, 16,cbl,17,16,+1,1.04,Won
Nexus,Vexed, 16, 10,cbl,28,16,+12,1.76,Won
Nexus,XPC, 16, 10,cbl,18,16,+2,1.11,Won
Nexus,XPC, 16, 13,cch,21,23,-2,1.16,Won
Nexus,Wind and Rain, 10, 16,mrg,19,22,-3,1.08,Lost
Nexus,EURONICS, 6, 16,cbl,21,16,+5,1.35,Lost
Nexus,Bpro, 16, 3,mrg,16,9,+7,1.48,Won
Nexus,Bpro, 16, 11,inf,21,10,+11,1.48,Won
Nexus,Bpro, 14, 16,mrg,26,21,+5,1.17,Lost
