XigN
Player's Team,Player's Opponent,Rounds Won,Rounds Lost,Map,Kills,Deaths,+/-,Rating,Outcome
BTRG,Lynn Vision, 13, 16,inf,21,20,+1,1.11,Lost
BTRG,Lynn Vision, 13, 16,trn,17,19,-2,0.94,Lost
BTRG,Lynn Vision, 22, 19,d2,24,26,-2,0.94,Lost
BTRG,ViCi, 10, 16,inf,12,20,-8,0.79,Lost
BTRG,ViCi, 11, 16,nuke,23,16,+7,1.16,Lost
BTRG,D13, 16, 14,d2,20,17,+3,1.15,Won
BTRG,D13, 11, 16,nuke,13,22,-9,0.66,Won
BTRG,D13, 16, 6,trn,27,9,+18,1.90,Won
BTRG,D13, 16, 7,nuke,14,11,+3,1.05,Won
BTRG,D13, 5, 16,trn,18,17,+1,1.07,Won
BTRG,D13, 16, 12,inf,28,14,+14,1.56,Won
BTRG,Beyond, 17, 19,nuke,35,26,+9,1.40,Lost
BTRG,Beyond, 5, 16,mrg,19,17,+2,1.11,Lost
BTRG,Invictus, 17, 19,inf,26,26,0,1.13,Lost
BTRG,Invictus, 7, 16,trn,12,18,-6,0.80,Lost
BTRG,D13, 16, 11,mrg,19,16,+3,1.03,Won
BTRG,D13, 16, 7,trn,23,15,+8,1.44,Won
BTRG,TIGER, 12, 16,ovp,18,19,-1,0.97,Lost
BTRG,TIGER, 14, 16,nuke,22,21,+1,1.05,Lost
BTRG,TYLOO, 16, 10,mrg,28,15,+13,1.63,Won
BTRG,TYLOO, 16, 9,trn,23,11,+12,1.50,Won
BTRG,TYLOO, 12, 16,d2,16,15,+1,1.02,Won
BTRG,Invictus, 4, 16,d2,11,16,-5,0.86,Lost
BTRG,Invictus, 8, 16,trn,9,22,-13,0.67,Lost
BTRG,ZIGMA, 12, 16,trn,19,21,-2,1.00,Lost
BTRG,ZIGMA, 16, 7,mrg,12,14,-2,0.96,Lost
BTRG,ZIGMA, 20, 22,inf,32,27,+5,1.21,Lost
BTRG,Beyond, 10, 16,trn,23,22,+1,1.38,Lost
BTRG,Beyond, 4, 16,inf,11,16,-5,0.74,Lost
BTRG,Beyond, 16, 6,ovp,22,11,+11,1.71,Lost
BTRG,HZ, 16, 14,nuke,30,20,+10,1.40,Won
BTRG,HZ, 16, 10,trn,24,21,+3,1.26,Won
BTRG,Maple, 16, 5,ovp,23,13,+10,1.86,Won
BTRG,Maple, 25, 22,mrg,53,26,+27,1.71,Won
BTRG,Maple, 6, 16,nuke,15,18,-3,0.98,Won
BTRG,Beyond, 9, 16,trn,14,20,-6,1.03,Lost
BTRG,Beyond, 13, 16,ovp,24,21,+3,1.17,Lost
BTRG,Blank, 16, 10,inf,20,9,+11,1.39,Won
BTRG,Blank, 19, 17,ovp,28,22,+6,1.14,Won
MVP PK,INTZ, 13, 16,trn,12,24,-12,0.63,Lost
MVP PK,INTZ, 12, 16,vtg,18,17,+1,1.00,Lost
MVP PK,North, 10, 16,inf,21,22,-1,1.17,Lost
MVP PK,North, 10, 16,nuke,18,19,-1,1.00,Lost
MVP PK,TYLOO, 6, 16,inf,11,17,-6,0.74,Lost
MVP PK,TYLOO, 4, 16,d2,5,16,-11,0.40,Lost
MVP PK,AVANT, 16, 9,inf,23,13,+10,1.48,Won
MVP PK,AVANT, 16, 11,d2,24,15,+9,1.37,Won
MVP PK,Grayhound, 4, 16,d2,11,18,-7,0.66,Lost
MVP PK,Grayhound, 10, 16,mrg,22,20,+2,1.12,Lost
MVP PK,Alpha Red, 16, 8,mrg,25,12,+13,1.66,Won
MVP PK,Alpha Red, 16, 7,inf,17,9,+8,1.44,Won
MVP PK,Alpha Red, 13, 16,vtg,28,18,+10,1.39,Won
MVP PK,FFAmix, 16, 9,nuke,23,11,+12,1.51,Won
MVP PK,FFAmix, 16, 13,inf,23,20,+3,1.24,Won
MVP PK,Alpha Red, 10, 16,trn,11,21,-10,0.62,Lost
MVP PK,mousesports, 6, 16,inf,14,17,-3,0.79,Lost
MVP PK,mousesports, 8, 16,vtg,17,22,-5,0.98,Lost
MVP PK,Liquid, 14, 16,nuke,24,23,+1,1.12,Lost
MVP PK,Mazaalai, 16, 9,d2,22,11,+11,1.53,Won
MVP PK,Mazaalai, 16, 6,nuke,22,15,+7,1.27,Won
MVP PK,Mazaalai, 16, 13,d2,21,16,+5,1.05,Won
MVP PK,Mazaalai, 16, 2,mrg,27,2,+25,2.39,Won
MVP PK,Ignis, 16, 7,ovp,12,16,-4,0.91,Won
MVP PK,Ignis, 16, 8,mrg,26,11,+15,1.76,Won
MVP PK,Updraft, 16, 6,d2,12,12,0,1.07,Won
MVP PK,Updraft, 16, 9,mrg,17,14,+3,1.06,Won
MVP PK,Alpha Red, 19, 16,mrg,21,27,-6,0.96,Won
MVP PK,Alpha Red, 16, 1,d2,8,7,+1,1.12,Won
MVP PK,TYLOO, 10, 16,trn,14,21,-7,0.77,Lost
MVP PK,TYLOO, 19, 16,mrg,26,27,-1,0.95,Lost
MVP PK,TYLOO, 14, 16,d2,29,21,+8,1.27,Lost
MVP PK,Lucid Dream, 16, 2,trn,16,5,+11,1.61,Won
MVP PK,Lucid Dream, 16, 10,d2,16,16,0,1.09,Won
MVP PK,TYLOO, 16, 11,ovp,24,13,+11,1.49,Won
MVP PK,TYLOO, 9, 16,inf,16,20,-4,0.99,Won
MVP PK,TYLOO, 19, 17,mrg,24,23,+1,0.98,Won
MVP PK,BOOT, 16, 10,inf,25,14,+11,1.53,Won
MVP PK,BOOT, 16, 9,d2,16,16,0,1.05,Won
MVP PK,TYLOO, 16, 7,inf,19,14,+5,1.28,Won
MVP PK,TYLOO, 16, 11,mrg,16,16,0,1.05,Won
MVP PK,TYLOO, 13, 16,trn,27,20,+7,1.46,Won
MVP PK,Recca, 16, 10,ovp,25,13,+12,1.45,Won
MVP PK,Recca, 16, 4,mrg,23,14,+9,1.73,Won
MVP PK,BIG, 5, 16,ovp,10,17,-7,0.59,Lost
MVP PK,BIG, 16, 8,d2,11,18,-7,0.80,Lost
MVP PK,BIG, 7, 16,inf,15,18,-3,0.91,Lost
MVP PK,eUnited, 19, 17,ovp,21,23,-2,0.89,Won
