blameF
Player's Team,Player's Opponent,Rounds Won,Rounds Lost,Map,Kills,Deaths,+/-,Rating,Outcome
Complexity,SJ, 13, 16,ovp,23,18,+5,1.31,Lost
Complexity,SJ, 10, 16,mrg,18,17,+1,1.04,Lost
Complexity,SJ, 16, 9,nuke,13,12,+1,1.10,Lost
Complexity,sAw, 3, 16,d2,17,17,0,1.14,Lost
Complexity,sAw, 9, 16,nuke,21,15,+6,1.22,Lost
Complexity,sAw, 19, 17,vtg,32,19,+13,1.56,Lost
Complexity,FaZe, 12, 16,d2,14,21,-7,0.80,Lost
Complexity,FaZe, 8, 16,nuke,12,18,-6,0.84,Lost
Complexity,FaZe, 16, 10,mrg,24,9,+15,1.48,Lost
Complexity,Vitality, 16, 11,vtg,19,15,+4,1.29,Won
Complexity,Vitality, 16, 10,nuke,18,12,+6,1.50,Won
Complexity,mousesports, 9, 16,mrg,21,19,+2,1.05,Lost
Complexity,mousesports, 20, 22,nuke,28,19,+9,1.19,Lost
Complexity,fnatic, 16, 13,vtg,25,15,+10,1.40,Won
Complexity,fnatic, 18, 22,nuke,25,27,-2,1.00,Won
Complexity,fnatic, 16, 4,mrg,16,6,+10,1.64,Won
Complexity,Spirit, 16, 10,mrg,19,14,+5,1.17,Won
Complexity,Spirit, 14, 16,nuke,34,17,+17,1.76,Won
Complexity,Spirit, 16, 7,ovp,20,10,+10,1.49,Won
Complexity,NiP, 16, 13,nuke,23,15,+8,1.38,Won
Complexity,NiP, 16, 7,trn,24,7,+17,1.70,Won
Complexity,Astralis, 19, 17,d2,24,23,+1,1.06,Won
Complexity,Astralis, 19, 17,trn,20,18,+2,1.03,Won
Complexity,Heroic, 13, 16,nuke,24,15,+9,1.33,Lost
Complexity,Heroic, 11, 16,inf,13,18,-5,0.84,Lost
Complexity,Natus Vincere, 16, 8,nuke,13,9,+4,1.23,Won
Complexity,Natus Vincere, 16, 9,d2,24,12,+12,1.56,Won
Complexity,MAD Lions, 22, 20,nuke,31,26,+5,1.33,Won
Complexity,MAD Lions, 16, 3,ovp,15,10,+5,1.34,Won
Complexity,Heroic, 15, 19,ovp,22,19,+3,1.19,Lost
Complexity,Heroic, 7, 16,mrg,23,14,+9,1.43,Lost
Complexity,Heroic, 16, 4,vtg,13,8,+5,1.20,Lost
Complexity,OG, 16, 13,mrg,23,16,+7,1.30,Won
Complexity,OG, 16, 14,nuke,16,19,-3,0.90,Won
Complexity,forZe, 16, 8,nuke,17,13,+4,1.27,Won
Complexity,forZe, 17, 19,mrg,27,22,+5,1.11,Won
Complexity,forZe, 16, 11,ovp,20,12,+8,1.44,Won
Complexity,c0ntact, 19, 22,mrg,33,26,+7,1.28,Lost
Complexity,c0ntact, 19, 17,nuke,37,18,+19,1.52,Lost
Complexity,c0ntact, 14, 16,trn,29,20,+9,1.38,Lost
Complexity,BIG, 14, 16,inf,21,14,+7,1.27,Lost
Complexity,BIG, 7, 16,mrg,16,20,-4,0.95,Lost
Complexity,Japaleno, 16, 7,d2,25,11,+14,1.92,Won
Complexity,Japaleno, 16, 5,mrg,16,9,+7,1.41,Won
Complexity,Japaleno, 14, 16,inf,29,16,+13,1.63,Won
Complexity,Vitality, 16, 12,nuke,28,16,+12,1.68,Won
Complexity,Vitality, 19, 16,mrg,23,22,+1,1.09,Won
Complexity,Vitality, 2, 16,vtg,11,11,0,1.04,Won
Complexity,FaZe, 16, 14,d2,23,18,+5,1.12,Won
Complexity,FaZe, 16, 11,nuke,14,14,0,0.99,Won
Complexity,Natus Vincere, 16, 3,mrg,15,7,+8,1.63,Won
Complexity,Natus Vincere, 16, 8,d2,17,14,+3,1.14,Won
Complexity,Natus Vincere, 5, 16,nuke,16,13,+3,1.24,Won
Complexity,OG, 16, 12,nuke,25,12,+13,1.67,Won
Complexity,OG, 10, 16,mrg,21,16,+5,1.24,Won
Complexity,OG, 16, 7,trn,20,9,+11,1.38,Won
Complexity,forZe, 7, 16,inf,18,17,+1,1.03,Lost
Complexity,forZe, 11, 16,nuke,22,16,+6,1.28,Lost
Complexity,HONORIS, 16, 2,mrg,18,6,+12,1.65,Won
Complexity,HONORIS, 16, 9,nuke,24,11,+13,1.63,Won
Complexity,HONORIS, 12, 16,vtg,15,20,-5,0.82,Won
Complexity,Hard Legion, 16, 5,d2,16,14,+2,1.19,Won
Complexity,Hard Legion, 16, 13,mrg,32,16,+16,1.64,Won
Complexity,Hard Legion, 13, 16,inf,26,17,+9,1.46,Won
Complexity,AGF, 16, 10,d2,13,17,-4,1.08,Won
Complexity,fnatic, 6, 16,mrg,15,16,-1,0.98,Lost
Complexity,fnatic, 19, 17,nuke,26,19,+7,1.18,Lost
Complexity,fnatic, 11, 16,trn,24,18,+6,1.30,Lost
Complexity,Endpoint, 16, 4,d2,19,6,+13,1.86,Won
Complexity,Endpoint, 12, 16,vtg,18,19,-1,1.05,Won
Complexity,Endpoint, 16, 9,mrg,20,13,+7,1.30,Won
Complexity,c0ntact, 16, 9,nuke,12,13,-1,0.96,Won
Complexity,c0ntact, 22, 20,mrg,26,25,+1,1.01,Won
