coldzera
Player's Team,Player's Opponent,Rounds Won,Rounds Lost,Map,Kills,Deaths,+/-,Rating,Outcome
FaZe,Complexity, 16, 12,d2,13,18,-5,0.76,Won
FaZe,Complexity, 16, 8,nuke,16,11,+5,1.16,Won
FaZe,Complexity, 10, 16,mrg,15,16,-1,0.96,Won
FaZe,NiP, 19, 15,nuke,30,20,+10,1.31,Won
FaZe,NiP, 16, 10,mrg,16,19,-3,0.94,Won
FaZe,Spirit, 10, 16,mrg,12,23,-11,0.67,Lost
FaZe,Spirit, 8, 16,d2,6,20,-14,0.42,Lost
FaZe,Spirit, 16, 12,nuke,20,14,+6,1.13,Lost
FaZe,Vitality, 10, 16,ovp,15,16,-1,0.88,Lost
FaZe,Vitality, 11, 16,d2,14,16,-2,0.87,Lost
FaZe,fnatic, 4, 16,nuke,9,17,-8,0.59,Lost
FaZe,fnatic, 11, 16,inf,18,19,-1,0.94,Lost
FaZe,Astralis, 5, 16,trn,7,19,-12,0.48,Lost
FaZe,Astralis, 7, 16,nuke,8,18,-10,0.44,Lost
FaZe,mousesports, 12, 16,inf,23,17,+6,1.42,Lost
FaZe,mousesports, 13, 16,nuke,19,15,+4,1.18,Lost
FaZe,Vitality, 14, 16,nuke,21,20,+1,1.02,Lost
FaZe,Vitality, 16, 19,d2,22,21,+1,1.06,Lost
FaZe,MIBR, 16, 6,d2,20,9,+11,1.53,Won
FaZe,MIBR, 16, 12,inf,18,19,-1,0.98,Won
FaZe,MIBR, 8, 16,trn,17,16,+1,1.13,Won
FaZe,Heroic, 9, 16,mrg,8,19,-11,0.50,Lost
FaZe,Heroic, 10, 16,nuke,18,18,0,0.92,Lost
FaZe,Movistar Riders, 16, 12,ovp,19,17,+2,1.09,Won
FaZe,Movistar Riders, 16, 4,mrg,22,7,+15,1.91,Won
FaZe,ENCE, 13, 16,ovp,20,24,-4,0.86,Lost
FaZe,ENCE, 13, 16,d2,18,21,-3,1.08,Lost
FaZe,BIG, 9, 16,nuke,13,17,-4,0.88,Lost
FaZe,BIG, 13, 16,d2,11,19,-8,0.61,Lost
FaZe,Heretics, 16, 7,trn,14,14,0,1.03,Won
FaZe,Heretics, 16, 4,nuke,14,8,+6,1.28,Won
FaZe,BIG, 12, 16,nuke,15,21,-6,0.73,Lost
FaZe,BIG, 10, 16,mrg,18,21,-3,0.92,Lost
FaZe,Vitality, 14, 16,d2,24,19,+5,1.26,Lost
FaZe,Vitality, 15, 19,nuke,21,23,-2,0.96,Lost
FaZe,Complexity, 14, 16,d2,21,19,+2,1.08,Lost
FaZe,Complexity, 11, 16,nuke,15,17,-2,0.95,Lost
FaZe,Vitality, 16, 9,d2,16,18,-2,1.06,Won
FaZe,Vitality, 16, 11,nuke,17,16,+1,1.08,Won
FaZe,ENCE, 16, 5,nuke,14,9,+5,1.20,Won
FaZe,ENCE, 16, 19,mrg,19,22,-3,0.86,Won
FaZe,ENCE, 16, 14,d2,24,17,+7,1.33,Won
FaZe,BIG, 19, 22,mrg,32,31,+1,1.13,Lost
FaZe,BIG, 4, 16,nuke,8,13,-5,0.67,Lost
FaZe,Natus Vincere, 16, 11,d2,12,16,-4,0.97,Won
FaZe,Natus Vincere, 16, 11,mrg,15,14,+1,0.97,Won
FaZe,NiP, 16, 13,inf,19,17,+2,1.11,Won
FaZe,NiP, 8, 16,mrg,14,19,-5,0.86,Won
FaZe,NiP, 16, 9,trn,22,14,+8,1.38,Won
FaZe,BIG, 5, 16,inf,10,15,-5,0.73,Lost
FaZe,BIG, 9, 16,nuke,19,15,+4,1.01,Lost
FaZe,Natus Vincere, 12, 15,nuke,20,21,-1,0.91,Lost
