degster
Player's Team,Player's Opponent,Rounds Won,Rounds Lost,Map,Kills,Deaths,+/-,Rating,Outcome
Espada,GODSENT, 10, 16,inf,17,17,0,0.95,Lost
Espada,GODSENT, 16, 10,nuke,26,13,+13,1.62,Lost
Espada,GODSENT, 6, 16,ovp,23,17,+6,1.42,Lost
Espada,Winstrike, 16, 4,nuke,23,6,+17,1.94,Won
Espada,Winstrike, 16, 11,ovp,17,16,+1,1.03,Won
Espada,SKADE, 16, 11,mrg,29,10,+19,1.62,Won
Espada,SKADE, 16, 6,d2,26,7,+19,2.13,Won
Espada,SKADE, 13, 16,inf,21,17,+4,1.20,Won
Espada,Imperial, 16, 13,mrg,13,20,-7,0.75,Won
Espada,Imperial, 16, 7,nuke,25,11,+14,1.86,Won
Espada,SJ, 19, 15,nuke,26,18,+8,1.28,Won
Espada,SJ, 16, 10,mrg,27,12,+15,1.54,Won
Espada,SG.pro, 14, 16,mrg,13,22,-9,0.69,Lost
Espada,SG.pro, 9, 16,nuke,19,18,+1,1.10,Lost
Espada,Secret, 19, 22,nuke,37,28,+9,1.20,Lost
Espada,Secret, 16, 14,d2,29,17,+12,1.35,Lost
Espada,Secret, 16, 19,mrg,24,20,+4,1.09,Lost
Espada,MAD Lions, 9, 16,nuke,9,18,-9,0.59,Lost
Espada,MAD Lions, 3, 16,ovp,9,16,-7,0.74,Lost
Espada,AGF, 16, 10,trn,19,17,+2,1.24,Won
Espada,AGF, 16, 14,mrg,28,19,+9,1.44,Won
Espada,Dignitas, 16, 10,inf,19,16,+3,1.12,Won
Espada,Dignitas, 20, 22,nuke,40,25,+15,1.39,Won
Espada,Dignitas, 16, 8,ovp,14,14,0,1.13,Won
Espada,c0ntact, 16, 11,inf,20,13,+7,1.20,Won
Espada,Spirit, 14, 16,mrg,18,22,-4,0.92,Lost
Espada,Spirit, 14, 16,trn,24,17,+7,1.26,Lost
Espada,Apeks, 16, 9,ovp,25,12,+13,1.57,Won
Espada,Apeks, 16, 13,mrg,11,19,-8,0.78,Won
Espada,Apeks, 12, 16,nuke,26,21,+5,1.32,Won
Espada,NAVI Junior, 16, 13,d2,23,16,+7,1.37,Won
Espada,NAVI Junior, 16, 9,ovp,27,11,+16,1.57,Won
Espada,FATE, 16, 5,d2,14,9,+5,1.30,Won
Espada,FATE, 16, 10,mrg,15,19,-4,0.85,Won
Espada,FATE, 6, 16,trn,18,17,+1,1.03,Won
Espada,CR4ZY, 16, 8,trn,29,12,+17,1.81,Won
Espada,CR4ZY, 13, 16,nuke,28,22,+6,1.37,Won
Espada,CR4ZY, 16, 8,ovp,27,16,+11,1.69,Won
Espada,FATE, 9, 16,inf,25,16,+9,1.41,Lost
Espada,AVEZ, 16, 12,ovp,19,12,+7,1.14,Won
Espada,AVEZ, 16, 8,d2,18,12,+6,1.38,Won
Espada,AVEZ, 13, 16,nuke,19,18,+1,1.04,Won
