device
Player's Team,Player's Opponent,Rounds Won,Rounds Lost,Map,Kills,Deaths,+/-,Rating,Outcome
Astralis,Spirit, 16, 10,nuke,23,17,+6,1.29,Won
Astralis,Spirit, 16, 7,ovp,17,12,+5,1.09,Won
Astralis,fnatic, 16, 8,trn,22,14,+8,1.52,Won
Astralis,fnatic, 9, 16,inf,15,19,-4,0.88,Won
Astralis,fnatic, 16, 6,nuke,17,12,+5,1.26,Won
Astralis,NiP, 16, 7,trn,17,15,+2,1.18,Won
Astralis,NiP, 16, 6,d2,14,14,0,1.05,Won
Astralis,mousesports, 16, 9,inf,19,16,+3,1.25,Won
Astralis,mousesports, 16, 14,nuke,15,18,-3,0.96,Won
Astralis,mousesports, 12, 16,d2,27,16,+11,1.40,Won
Astralis,Vitality, 16, 11,d2,24,15,+9,1.39,Won
Astralis,Vitality, 9, 16,vtg,17,17,0,1.08,Won
Astralis,Vitality, 16, 10,nuke,24,16,+8,1.36,Won
Astralis,FaZe, 16, 5,trn,19,11,+8,1.39,Won
Astralis,FaZe, 16, 7,nuke,18,13,+5,1.54,Won
Astralis,Complexity, 17, 19,d2,20,27,-7,0.94,Lost
Astralis,Complexity, 17, 19,trn,22,24,-2,0.88,Lost
Astralis,NiP, 13, 16,inf,18,23,-5,0.99,Lost
Astralis,NiP, 10, 16,trn,15,16,-1,0.90,Lost
Astralis,Vitality, 16, 7,d2,23,16,+7,1.64,Won
Astralis,Vitality, 16, 8,nuke,14,13,+1,1.05,Won
Astralis,fnatic, 19, 17,trn,28,24,+4,1.25,Won
Astralis,fnatic, 16, 5,nuke,14,15,-1,1.23,Won
Astralis,NiP, 18, 22,ovp,38,28,+10,1.25,Lost
Astralis,NiP, 16, 8,nuke,21,12,+9,1.54,Lost
Astralis,NiP, 12, 16,trn,20,19,+1,0.95,Lost
Astralis,mousesports, 5, 16,trn,14,16,-2,0.88,Lost
Astralis,mousesports, 16, 19,ovp,20,23,-3,0.95,Lost
Astralis,ENCE, 13, 16,nuke,24,14,+10,1.40,Lost
Astralis,Vitality, 6, 16,nuke,19,18,+1,1.07,Lost
Astralis,sAw, 16, 4,trn,13,12,+1,1.07,Won
Astralis,NiP, 7, 16,trn,16,15,+1,1.04,Lost
Astralis,G2, 7, 16,nuke,11,17,-6,0.82,Lost
Astralis,G2, 13, 16,d2,19,16,+3,1.20,Lost
Astralis,North, 16, 8,inf,16,14,+2,1.28,Won
Astralis,North, 16, 4,vtg,21,9,+12,1.65,Won
Astralis,Heroic, 16, 14,inf,19,17,+2,1.15,Won
Astralis,Heroic, 19, 16,trn,29,17,+12,1.39,Won
Astralis,G2, 16, 2,vtg,22,10,+12,1.94,Won
Astralis,G2, 16, 6,nuke,24,13,+11,1.62,Won
Astralis,FaZe, 16, 7,inf,22,16,+6,1.46,Won
Astralis,FaZe, 16, 12,d2,25,13,+12,1.48,Won
Astralis,G2, 16, 7,ovp,29,9,+20,1.90,Won
Astralis,G2, 16, 13,vtg,23,16,+7,1.30,Won
Astralis,ENCE, 16, 11,inf,27,19,+8,1.37,Won
Astralis,ENCE, 12, 16,nuke,21,18,+3,1.08,Won
Astralis,ENCE, 19, 17,trn,30,21,+9,1.25,Won
Astralis,Dignitas, 16, 5,d2,12,15,-3,0.90,Won
Astralis,Dignitas, 19, 17,trn,30,25,+5,1.23,Won
Astralis,Heretics, 16, 12,inf,15,20,-5,0.89,Won
Astralis,Heretics, 16, 10,d2,23,15,+8,1.24,Won
Astralis,NiP, 16, 11,inf,25,17,+8,1.34,Won
Astralis,NiP, 16, 12,nuke,20,19,+1,1.21,Won
Astralis,NiP, 12, 16,vtg,16,19,-3,0.81,Won
Astralis,Vitality, 16, 5,nuke,24,10,+14,1.90,Won
Astralis,Vitality, 16, 7,d2,15,13,+2,1.20,Won
Astralis,fnatic, 12, 16,ovp,22,18,+4,1.10,Lost
Astralis,fnatic, 19, 16,inf,27,24,+3,1.22,Lost
Astralis,fnatic, 9, 16,trn,21,19,+2,1.13,Lost
Astralis,Complexity, 16, 11,trn,22,17,+5,1.15,Won
Astralis,Complexity, 13, 16,nuke,14,21,-7,0.82,Won
Astralis,Complexity, 16, 4,vtg,21,9,+12,1.72,Won
Astralis,mousesports, 12, 16,nuke,21,19,+2,1.11,Lost
Astralis,mousesports, 16, 5,inf,22,13,+9,1.82,Lost
Astralis,mousesports, 17, 19,d2,29,23,+6,1.20,Lost
Astralis,mousesports, 16, 1,d2,14,7,+7,1.63,Won
Astralis,mousesports, 16, 3,inf,14,11,+3,1.10,Won
Astralis,OG, 16, 10,ovp,20,16,+4,1.14,Won
Astralis,OG, 16, 8,d2,20,13,+7,1.37,Won
Astralis,FaZe, 16, 4,ovp,14,11,+3,1.24,Won
Astralis,FaZe, 19, 17,nuke,22,22,0,0.98,Won
Astralis,fnatic, 14, 16,inf,22,22,0,1.02,Lost
Astralis,fnatic, 16, 11,nuke,19,14,+5,1.15,Lost
Astralis,fnatic, 13, 16,d2,18,17,+1,1.13,Lost
Astralis,Natus Vincere, 8, 16,trn,16,16,0,0.95,Lost
Astralis,Natus Vincere, 10, 16,d2,19,16,+3,1.04,Lost
Astralis,Natus Vincere, 16, 5,inf,14,13,+1,1.25,Lost
Astralis,Vitality, 16, 8,nuke,21,15,+6,1.38,Won
Astralis,Vitality, 17, 19,ovp,32,23,+9,1.36,Won
Astralis,Vitality, 16, 10,d2,28,15,+13,1.60,Won
Astralis,Spirit, 16, 8,nuke,31,16,+15,1.89,Won
Astralis,Spirit, 16, 6,d2,20,8,+12,1.53,Won
Astralis,ENCE, 16, 10,ovp,18,18,0,1.15,Won
Astralis,ENCE, 14, 16,inf,18,19,-1,0.93,Won
Astralis,ENCE, 16, 13,d2,19,13,+6,1.24,Won
Astralis,GODSENT, 16, 7,inf,16,14,+2,1.39,Won
Astralis,GODSENT, 16, 5,vtg,13,11,+2,1.10,Won
Astralis,NiP, 8, 16,ovp,12,17,-5,0.73,Lost
Astralis,NiP, 6, 16,vtg,11,19,-8,0.66,Lost
Astralis,Natus Vincere, 5, 16,nuke,6,18,-12,0.44,Lost
Astralis,Natus Vincere, 5, 16,d2,15,15,0,1.10,Lost
Astralis,fnatic, 16, 8,vtg,16,12,+4,1.32,Won
Astralis,fnatic, 16, 9,ovp,21,13,+8,1.31,Won
Astralis,Vitality, 22, 19,vtg,34,24,+10,1.24,Won
Astralis,Vitality, 16, 9,ovp,17,15,+2,1.05,Won
Astralis,Cloud9, 16, 12,trn,24,16,+8,1.37,Won
Astralis,Cloud9, 16, 7,ovp,26,8,+18,1.81,Won
Astralis,Natus Vincere, 14, 16,inf,28,23,+5,1.36,Lost
Astralis,Natus Vincere, 9, 16,nuke,20,21,-1,1.14,Lost
Astralis,Natus Vincere, 16, 6,trn,15,13,+2,1.02,Lost
Astralis,Complexity, 12, 16,vtg,18,23,-5,0.80,Lost
Astralis,Complexity, 11, 16,d2,22,19,+3,1.16,Lost
Astralis,Liquid, 16, 12,nuke,22,17,+5,1.18,Won
Astralis,Liquid, 16, 11,inf,21,19,+2,1.21,Won
Astralis,NiP, 16, 8,nuke,23,14,+9,1.59,Won
Astralis,NiP, 16, 11,trn,20,16,+4,1.18,Won
Astralis,Liquid, 16, 13,inf,21,21,0,1.12,Won
Astralis,Liquid, 16, 12,nuke,19,16,+3,1.06,Won
Astralis,mousesports, 14, 16,d2,25,18,+7,1.38,Lost
Astralis,mousesports, 16, 9,ovp,21,17,+4,1.26,Lost
Astralis,mousesports, 19, 22,trn,15,27,-12,0.64,Lost
Astralis,Liquid, 16, 13,d2,23,18,+5,1.37,Won
Astralis,Liquid, 16, 7,nuke,12,14,-2,1.03,Won
Astralis,Liquid, 14, 16,inf,18,20,-2,0.85,Won
Astralis,G2, 16, 14,trn,13,21,-8,0.67,Won
Astralis,G2, 19, 15,inf,23,19,+4,1.23,Won
Astralis,G2, 13, 16,d2,24,20,+4,1.21,Won
Astralis,Renegades, 16, 8,inf,19,14,+5,1.25,Won
Astralis,Liquid, 16, 8,d2,29,12,+17,1.89,Won
Astralis,Liquid, 16, 11,nuke,20,15,+5,1.09,Won
Astralis,Liquid, 15, 19,vtg,19,24,-5,0.91,Won
Astralis,Evil Geniuses, 16, 6,ovp,19,11,+8,1.37,Won
Astralis,Evil Geniuses, 13, 16,nuke,22,18,+4,1.09,Won
Astralis,Evil Geniuses, 16, 8,inf,19,11,+8,1.38,Won
Astralis,fnatic, 16, 14,inf,22,18,+4,1.28,Won
Astralis,fnatic, 16, 6,nuke,26,11,+15,2.02,Won
Astralis,Sharks, 19, 15,nuke,19,21,-2,0.91,Won
Astralis,100 Thieves, 16, 3,trn,15,9,+6,1.38,Won
Astralis,100 Thieves, 16, 5,nuke,19,13,+6,1.43,Won
Astralis,100 Thieves, 16, 14,vtg,29,22,+7,1.41,Won
Astralis,FaZe, 16, 2,nuke,12,9,+3,1.22,Won
Astralis,FaZe, 16, 0,d2,15,6,+9,1.63,Won
Astralis,100 Thieves, 16, 9,nuke,25,17,+8,1.34,Won
Astralis,100 Thieves, 16, 10,inf,20,12,+8,1.44,Won
Astralis,ViCi, 16, 4,nuke,19,9,+10,1.53,Won
Astralis,ViCi, 16, 5,inf,22,9,+13,1.65,Won
Astralis,Cloud9, 16, 3,nuke,21,7,+14,1.88,Won
Astralis,Natus Vincere, 15, 15,nuke,26,23,+3,Nil,Nil
Astralis,Liquid, 16, 10,nuke,27,17,+10,1.44,Won
Astralis,NiP, 7, 16,ovp,12,19,-7,0.70,Lost
Astralis,FaZe, 2, 16,inf,8,18,-10,0.51,Lost
Astralis,BIG, 16, 14,trn,18,20,-2,0.99,Won
Astralis,BIG, 11, 16,d2,17,18,-1,0.93,Won
Astralis,BIG, 16, 3,nuke,31,6,+25,2.55,Won
Astralis,FaZe, 16, 8,d2,17,18,-1,0.95,Won
Astralis,FaZe, 16, 9,nuke,17,14,+3,1.19,Won
Astralis,m1x, 16, 8,inf,22,14,+8,1.41,Won
Astralis,m1x, 19, 17,d2,33,21,+12,1.43,Won
Astralis,fnatic, 16, 14,trn,22,18,+4,1.24,Won
Astralis,fnatic, 16, 14,inf,22,17,+5,1.15,Won
Astralis,North, 19, 17,trn,31,25,+6,1.19,Won
Astralis,North, 16, 8,inf,20,14,+6,1.52,Won
Astralis,Aristocracy, 16, 12,nuke,18,19,-1,0.97,Won
Astralis,Aristocracy, 16, 9,vtg,26,15,+11,1.52,Won
Astralis,fnatic, 23, 25,nuke,49,31,+18,1.46,Lost
Astralis,fnatic, 9, 16,ovp,12,19,-7,0.64,Lost
Astralis,Vitality, 16, 14,d2,26,17,+9,1.45,Won
Astralis,Vitality, 16, 5,vtg,31,9,+22,2.48,Won
Astralis,G2, 16, 7,d2,24,11,+13,1.74,Won
Astralis,G2, 19, 16,nuke,24,21,+3,1.03,Won
Astralis,Envy, 16, 7,trn,21,7,+14,1.64,Won
Astralis,Evil Geniuses, 8, 16,nuke,14,17,-3,0.93,Lost
Astralis,Evil Geniuses, 22, 20,trn,25,26,-1,1.05,Lost
Astralis,Evil Geniuses, 12, 16,d2,13,17,-4,0.82,Lost
Astralis,Evil Geniuses, 3, 16,inf,11,16,-5,0.79,Lost
Astralis,Liquid, 16, 13,ovp,18,18,0,1.00,Won
Astralis,Liquid, 9, 16,d2,13,16,-3,0.88,Won
Astralis,Liquid, 16, 9,vtg,14,18,-4,0.97,Won
Astralis,OpTic, 16, 7,d2,20,14,+6,1.43,Won
Astralis,OpTic, 16, 6,nuke,20,10,+10,1.40,Won
Astralis,Evil Geniuses, 12, 16,inf,26,18,+8,1.29,Lost
Astralis,Evil Geniuses, 14, 16,d2,19,18,+1,0.96,Lost
Astralis,OpTic, 16, 1,d2,21,7,+14,2.00,Won
Astralis,OpTic, 16, 14,vtg,18,20,-2,0.96,Won
Astralis,AVANGAR, 16, 5,d2,23,8,+15,1.97,Won
Astralis,AVANGAR, 16, 6,inf,19,13,+6,1.49,Won
Astralis,NRG, 16, 9,ovp,23,16,+7,1.37,Won
Astralis,NRG, 16, 10,trn,19,14,+5,1.25,Won
Astralis,Liquid, 16, 13,ovp,25,16,+9,1.36,Won
Astralis,Liquid, 16, 8,vtg,23,13,+10,1.56,Won
Astralis,CR4ZY, 16, 5,vtg,21,13,+8,1.59,Won
Astralis,CR4ZY, 29, 31,d2,46,42,+4,1.08,Won
Astralis,CR4ZY, 16, 11,inf,20,20,0,1.07,Won
Astralis,NRG, 4, 16,nuke,7,18,-11,0.46,Lost
Astralis,NRG, 28, 31,trn,47,38,+9,1.05,Lost
Astralis,G2, 16, 7,nuke,21,11,+10,1.49,Won
Astralis,DreamEaters, 16, 9,d2,19,10,+9,1.41,Won
Astralis,Vitality, 9, 16,ovp,11,19,-8,0.58,Lost
Astralis,Vitality, 22, 19,inf,24,26,-2,1.17,Lost
Astralis,Vitality, 8, 16,d2,11,18,-7,0.93,Lost
Astralis,NiP, 16, 8,inf,14,15,-1,1.06,Won
Astralis,NiP, 19, 16,d2,25,21,+4,1.16,Won
Astralis,fnatic, 16, 6,nuke,15,12,+3,1.22,Won
Astralis,fnatic, 16, 1,trn,18,7,+11,1.60,Won
Astralis,BIG, 16, 4,ovp,20,10,+10,1.61,Won
Astralis,Liquid, 13, 16,vtg,18,21,-3,0.90,Lost
Astralis,Liquid, 6, 16,inf,23,20,+3,1.36,Lost
Astralis,Liquid, 16, 12,ovp,23,21,+2,1.26,Lost
Astralis,NRG, 12, 16,d2,17,19,-2,0.99,Lost
Astralis,NRG, 16, 8,nuke,30,11,+19,2.05,Lost
Astralis,NRG, 13, 16,trn,21,20,+1,0.95,Lost
Astralis,Heroic, 16, 7,inf,21,15,+6,1.47,Won
Astralis,Heroic, 16, 7,vtg,20,10,+10,1.49,Won
Astralis,Cloud9, 16, 9,inf,17,15,+2,1.11,Won
Astralis,FURIA, 13, 16,nuke,26,19,+7,1.33,Lost
Astralis,FURIA, 10, 16,mrg,24,13,+11,1.49,Lost
Astralis,FURIA, 16, 12,inf,25,13,+12,1.46,Lost
Astralis,NiP, 16, 6,ovp,13,13,0,1.08,Won
Astralis,NiP, 16, 5,inf,22,11,+11,1.87,Won
Astralis,FURIA, 14, 16,nuke,23,18,+5,1.18,Lost
Astralis,ENCE, 13, 16,trn,21,17,+4,1.13,Lost
Astralis,ENCE, 9, 16,nuke,18,16,+2,1.06,Lost
Astralis,Cloud9, 16, 11,inf,21,14,+7,1.49,Won
Astralis,ENCE, 13, 16,d2,27,19,+8,1.47,Lost
Astralis,Natus Vincere, 16, 13,d2,17,19,-2,0.88,Won
Astralis,Giants, 16, 7,nuke,21,9,+12,1.58,Won
Astralis,NiP, 16, 8,d2,13,14,-1,1.09,Won
Astralis,BIG, 16, 14,ovp,19,16,+3,1.05,Won
Astralis,BIG, 17, 19,inf,12,23,-11,0.73,Won
Astralis,BIG, 16, 10,d2,19,12,+7,1.26,Won
Astralis,HellRaisers, 16, 7,inf,21,12,+9,1.56,Won
Astralis,HellRaisers, 16, 4,d2,16,9,+7,1.39,Won
Astralis,ex-3DMAX, 16, 7,nuke,16,12,+4,1.21,Won
Astralis,ex-3DMAX, 16, 6,mrg,16,7,+9,1.45,Won
Astralis,FaZe, 5, 16,d2,11,17,-6,0.68,Lost
Astralis,Liquid, 14, 16,ovp,18,19,-1,1.04,Lost
Astralis,MIBR, 2, 16,ovp,9,17,-8,0.67,Lost
Astralis,Natus Vincere, 16, 7,inf,15,8,+7,1.29,Won
Astralis,Cloud9, 16, 10,inf,14,16,-2,0.93,Won
Astralis,Liquid, 16, 2,ovp,17,6,+11,1.72,Won
Astralis,Liquid, 16, 8,inf,19,12,+7,1.12,Won
Astralis,Liquid, 13, 16,d2,22,18,+4,1.21,Won
Astralis,FaZe, 16, 13,d2,20,18,+2,1.07,Won
Astralis,NiP, 16, 12,d2,33,15,+18,1.88,Won
Astralis,MIBR, 16, 10,ovp,23,16,+7,1.33,Won
Astralis,ENCE, 16, 14,d2,27,17,+10,1.50,Won
Astralis,Liquid, 16, 13,d2,22,17,+5,1.20,Won
Astralis,NiP, 16, 1,inf,8,12,-4,0.76,Won
Astralis,NiP, 16, 9,trn,17,14,+3,1.14,Won
Astralis,AVANGAR, 16, 13,inf,32,19,+13,1.61,Won
Astralis,AVANGAR, 16, 14,ovp,22,20,+2,1.04,Won
Astralis,LDLC, 16, 4,nuke,14,9,+5,1.38,Won
Astralis,LDLC, 16, 7,d2,15,11,+4,1.14,Won
Astralis,ENCE, 16, 4,inf,22,8,+14,1.89,Won
Astralis,ENCE, 16, 11,trn,21,15,+6,1.14,Won
Astralis,MIBR, 16, 7,inf,14,14,0,1.16,Won
Astralis,MIBR, 16, 14,ovp,17,18,-1,0.96,Won
Astralis,NiP, 16, 14,d2,21,17,+4,1.26,Won
