dexter
Player's Team,Player's Opponent,Rounds Won,Rounds Lost,Map,Kills,Deaths,+/-,Rating,Outcome
Renegades,Chiefs, 16, 2,vtg,21,9,+12,1.80,Won
Renegades,Chiefs, 16, 14,d2,27,24,+3,1.23,Won
Renegades,ORDER, 16, 11,nuke,24,18,+6,1.30,Won
Renegades,ORDER, 14, 16,d2,26,19,+7,1.36,Won
Renegades,ORDER, 16, 10,vtg,23,16,+7,1.40,Won
Renegades,Chiefs, 16, 4,vtg,21,12,+9,1.78,Won
Renegades,Chiefs, 16, 14,d2,23,23,0,1.09,Won
Renegades,Downfall, 16, 8,inf,19,10,+9,1.34,Won
Renegades,Downfall, 16, 7,mrg,22,13,+9,1.65,Won
Renegades,Rooster, 16, 8,nuke,18,13,+5,1.40,Won
Renegades,Rooster, 16, 11,inf,19,18,+1,1.25,Won
Renegades,AVANT, 16, 13,mrg,29,19,+10,1.34,Won
Renegades,AVANT, 16, 10,d2,21,14,+7,1.28,Won
Renegades,ORDER, 16, 10,d2,21,11,+10,1.42,Won
Renegades,ORDER, 16, 14,vtg,24,23,+1,1.10,Won
Renegades,Chiefs, 16, 4,vtg,19,11,+8,1.75,Won
Renegades,Chiefs, 16, 1,nuke,6,10,-4,0.93,Won
Renegades,Rooster, 16, 9,nuke,25,14,+11,1.48,Won
Renegades,Rooster, 16, 7,inf,14,10,+4,1.15,Won
Renegades,Rooster, 16, 8,mrg,27,12,+15,1.82,Won
Renegades,AVANT, 16, 4,mrg,13,12,+1,1.05,Won
Renegades,AVANT, 16, 9,nuke,30,14,+16,1.68,Won
Renegades,AVANT, 16, 11,d2,28,18,+10,1.37,Won
Renegades,AVANT, 16, 12,mrg,22,23,-1,1.21,Won
Renegades,AVANT, 13, 16,nuke,23,20,+3,1.11,Won
Renegades,ORDER, 19, 17,vtg,28,25,+3,1.10,Won
Renegades,ORDER, 16, 10,mrg,18,17,+1,1.06,Won
Renegades,Rooster, 16, 5,inf,14,9,+5,1.18,Won
Renegades,Rooster, 9, 16,nuke,15,18,-3,0.99,Won
Renegades,Rooster, 16, 10,ovp,24,18,+6,1.42,Won
Renegades,ORDER, 12, 16,nuke,11,23,-12,0.60,Lost
Renegades,ORDER, 16, 10,vtg,19,17,+2,1.20,Lost
Renegades,ORDER, 13, 16,inf,21,21,0,1.01,Lost
Renegades,TRUCKERS WITH ATTITUDE, 16, 9,nuke,21,17,+4,1.23,Won
