dizzyLife
Player's Team,Player's Opponent,Rounds Won,Rounds Lost,Map,Kills,Deaths,+/-,Rating,Outcome
catman,Paradox, 16, 10,d2,21,17,+4,1.19,Won
catman,madlikewizards, 25, 23,inf,28,35,-7,0.89,Won
catman,ORDER, 7, 16,trn,14,19,-5,0.86,Lost
catman,Buckets, 16, 13,mrg,15,23,-8,0.94,Won
catman,Grayhound, 7, 16,inf,10,17,-7,0.70,Lost
catman,Grayhound, 13, 16,d2,15,22,-7,0.80,Lost
catman,AVANT, 4, 16,ovp,10,19,-9,0.60,Lost
catman,AVANT, 13, 16,inf,12,22,-10,0.79,Lost
catman,Ground Zero, 16, 8,d2,18,16,+2,1.22,Won
catman,Ground Zero, 16, 9,mrg,15,17,-2,0.94,Won
catman,Ground Zero, 8, 16,inf,17,20,-3,0.99,Won
catman,ZOOWEEMAMA, 16, 8,trn,20,11,+9,1.53,Won
catman,Genuine, 16, 14,d2,22,19,+3,1.18,Won
catman,Dippers, 16, 13,inf,27,18,+9,1.54,Won
Recursive,Chiefs, 11, 16,d2,23,19,+4,1.37,Lost
Recursive,Ground Zero, 16, 14,vtg,30,19,+11,Nil,Nil
Recursive,Grayhound, 4, 16,trn,6,19,-13,0.52,Lost
Recursive,Jade, 16, 14,d2,26,20,+6,Nil,Nil
Recursive,Bizarre, 16, 8,inf,20,11,+9,Nil,Nil
Recursive,SYF, 16, 7,inf,16,12,+4,Nil,Nil
Recursive,Genuine, 16, 12,inf,23,15,+8,1.38,Won
Recursive,Genuine, 16, 14,d2,19,16,+3,1.14,Won
catman,Bizarre, 19, 15,vtg,30,22,+8,1.40,Won
catman,Bizarre, 16, 6,d2,17,11,+6,1.24,Won
catman,PC419, 4, 16,d2,12,18,-6,0.77,Lost
catman,rewound, 19, 16,d2,32,17,+15,1.41,Won
Chiefs,AVANT, 10, 16,mrg,13,20,-7,0.72,Lost
Chiefs,Legacy, 16, 2,inf,14,9,+5,1.34,Won
Chiefs,Legacy, 16, 8,mrg,14,9,+5,1.15,Won
Chiefs,Tainted Minds, 19, 16,mrg,27,25,+2,1.09,Won
Chiefs,Tainted Minds, 16, 7,inf,13,12,+1,1.13,Won
Chiefs,Legacy, 19, 16,cch,18,23,-5,0.83,Won
Chiefs,Legacy, 16, 7,mrg,20,12,+8,1.43,Won
Chiefs,ORDER, 16, 14,nuke,23,16,+7,1.18,Won
Chiefs,ORDER, 19, 15,inf,24,22,+2,1.13,Won
Chiefs,Tainted Minds, 16, 10,cch,17,18,-1,1.02,Won
Chiefs,Tainted Minds, 8, 16,inf,10,18,-8,0.57,Won
Chiefs,Tainted Minds, 16, 7,nuke,15,13,+2,1.20,Won
Chiefs,Ground Zero, 16, 9,mrg,18,12,+6,1.34,Won
Chiefs,Ground Zero, 16, 4,trn,23,11,+12,1.62,Won
Chiefs,Dynasty, 16, 11,cch,21,14,+7,1.33,Won
Chiefs,Dynasty, 16, 14,inf,21,20,+1,1.23,Won
Chiefs,Taboo, 16, 12,trn,27,14,+13,1.53,Won
Chiefs,Taboo, 16, 11,inf,20,13,+7,1.38,Won
Chiefs,Grayhound, 4, 16,cch,11,18,-7,0.53,Lost
Chiefs,Grayhound, 4, 16,inf,14,15,-1,0.89,Lost
Chiefs,Grayhound, 16, 13,nuke,25,16,+9,1.44,Lost
Chiefs,Rise and Grind, 16, 1,nuke,22,7,+15,1.84,Won
Chiefs,Rise and Grind, 16, 5,inf,20,8,+12,1.55,Won
Chiefs,anime savants, 16, 8,mrg,26,11,+15,1.67,Won
Chiefs,anime savants, 16, 10,trn,16,15,+1,1.08,Won
Chiefs,SYF, 16, 8,cch,19,15,+4,1.22,Won
