huNter-
Player's Team,Player's Opponent,Rounds Won,Rounds Lost,Map,Kills,Deaths,+/-,Rating,Outcome
G2,Natus Vincere, 8, 16,inf,18,22,-4,0.87,Lost
G2,Natus Vincere, 6, 16,trn,12,17,-5,0.77,Lost
G2,AGO, 17, 19,vtg,36,26,+10,1.45,Lost
G2,AGO, 16, 4,nuke,12,11,+1,1.12,Lost
G2,AGO, 14, 16,inf,23,18,+5,1.34,Lost
G2,BIG, 4, 16,nuke,14,16,-2,0.86,Lost
G2,BIG, 11, 16,d2,25,20,+5,1.32,Lost
G2,BIG, 16, 14,vtg,19,21,-2,1.11,Lost
G2,ENCE, 10, 16,d2,16,16,0,1.02,Lost
G2,ENCE, 16, 19,trn,29,25,+4,1.20,Lost
G2,Heroic, 7, 16,inf,18,16,+2,1.14,Lost
G2,Heroic, 16, 14,vtg,22,21,+1,0.99,Lost
G2,Heroic, 7, 16,trn,14,19,-5,0.74,Lost
G2,GODSENT, 16, 12,vtg,25,20,+5,1.26,Won
G2,GODSENT, 16, 13,nuke,22,20,+2,1.25,Won
G2,OG, 16, 14,mrg,21,21,0,1.05,Won
G2,OG, 16, 13,trn,19,18,+1,1.11,Won
G2,OG, 12, 16,inf,17,20,-3,1.07,Won
G2,Heroic, 7, 16,mrg,9,18,-9,0.71,Lost
G2,Heroic, 19, 16,nuke,32,21,+11,1.33,Lost
G2,Heroic, 23, 25,vtg,31,31,0,1.03,Lost
G2,OG, 19, 17,d2,25,25,0,0.92,Won
G2,OG, 10, 16,trn,13,17,-4,0.76,Won
G2,OG, 16, 6,nuke,11,14,-3,0.85,Won
G2,Heroic, 19, 17,mrg,25,22,+3,1.18,Won
G2,Heroic, 16, 7,vtg,16,13,+3,1.28,Won
G2,Heroic, 7, 16,nuke,15,20,-5,0.89,Won
G2,MIBR, 16, 4,inf,20,9,+11,1.75,Won
G2,MIBR, 16, 2,vtg,15,10,+5,1.26,Won
G2,ENCE, 16, 6,nuke,20,10,+10,1.49,Won
G2,ENCE, 16, 8,trn,16,19,-3,1.04,Won
G2,Movistar Riders, 16, 6,mrg,17,13,+4,1.42,Won
G2,Movistar Riders, 12, 16,nuke,15,20,-5,0.97,Won
G2,Movistar Riders, 16, 6,inf,27,7,+20,2.01,Won
G2,fnatic, 10, 16,d2,15,23,-8,0.82,Lost
G2,fnatic, 11, 16,trn,20,18,+2,1.10,Lost
G2,GODSENT, 16, 19,nuke,24,21,+3,1.04,Lost
G2,GODSENT, 6, 16,trn,5,20,-15,0.28,Lost
G2,fnatic, 16, 7,trn,20,16,+4,1.25,Won
G2,fnatic, 16, 8,nuke,20,15,+5,1.46,Won
G2,Natus Vincere, 13, 16,nuke,22,20,+2,1.03,Lost
G2,Natus Vincere, 16, 11,trn,25,16,+9,1.43,Lost
G2,Natus Vincere, 3, 16,mrg,9,18,-9,0.77,Lost
G2,ENCE, 16, 6,d2,22,12,+10,1.69,Won
G2,ENCE, 8, 16,mrg,9,21,-12,0.57,Won
G2,ENCE, 16, 6,trn,21,9,+12,1.68,Won
G2,Vitality, 20, 22,mrg,34,27,+7,1.14,Lost
G2,Vitality, 5, 16,inf,11,18,-7,0.65,Lost
G2,BIG, 17, 19,mrg,24,24,0,1.03,Lost
G2,BIG, 6, 16,d2,11,18,-7,0.78,Lost
G2,BIG, 5, 16,nuke,14,18,-4,0.73,Lost
G2,BIG, 16, 6,vtg,15,8,+7,1.41,Lost
G2,BIG, 16, 7,mrg,23,12,+11,1.47,Won
G2,BIG, 6, 16,d2,8,16,-8,0.56,Won
G2,BIG, 16, 5,nuke,19,10,+9,1.54,Won
G2,Natus Vincere, 16, 12,d2,21,17,+4,1.27,Won
G2,Natus Vincere, 22, 19,mrg,33,30,+3,1.26,Won
G2,FaZe, 3, 13,trn,6,14,-8,0.43,Lost
G2,FaZe, 7, 13,inf,14,13,+1,1.15,Lost
G2,Astralis, 16, 7,nuke,18,12,+6,1.30,Won
G2,Astralis, 16, 13,d2,21,17,+4,1.07,Won
G2,Heroic, 19, 17,mrg,26,25,+1,1.16,Won
G2,Heroic, 16, 13,vtg,24,17,+7,1.32,Won
G2,Heroic, 13, 16,nuke,20,24,-4,0.89,Won
G2,North, 14, 16,d2,21,20,+1,1.05,Lost
G2,North, 16, 8,inf,28,12,+16,2.01,Lost
G2,North, 10, 16,vtg,16,20,-4,0.92,Lost
G2,Astralis, 2, 16,vtg,6,18,-12,0.42,Lost
G2,Astralis, 6, 16,nuke,12,16,-4,0.80,Lost
G2,FaZe, 16, 11,nuke,16,15,+1,1.23,Won
G2,FaZe, 16, 10,mrg,26,15,+11,1.57,Won
G2,FaZe, 11, 16,d2,22,18,+4,1.23,Won
G2,Vitality, 16, 14,d2,18,22,-4,0.91,Won
G2,Vitality, 14, 16,vtg,24,20,+4,1.16,Won
G2,Vitality, 16, 14,nuke,22,21,+1,1.15,Won
G2,Heretics, 16, 14,mrg,30,20,+10,1.55,Won
G2,Heretics, 16, 19,d2,25,26,-1,1.22,Won
G2,Heretics, 16, 14,nuke,20,19,+1,1.04,Won
G2,Astralis, 7, 16,ovp,11,20,-9,0.67,Lost
G2,Astralis, 13, 16,vtg,23,20,+3,1.14,Lost
G2,North, 16, 19,nuke,28,28,0,1.02,Lost
G2,North, 12, 16,d2,18,22,-4,0.94,Lost
G2,North, 16, 14,vtg,23,19,+4,1.30,Lost
G2,c0ntact, 16, 6,ovp,18,14,+4,1.54,Won
G2,c0ntact, 16, 11,mrg,27,18,+9,1.53,Won
G2,mousesports, 14, 16,d2,11,26,-15,0.57,Lost
G2,mousesports, 5, 16,trn,18,17,+1,1.06,Lost
G2,mousesports, 16, 13,vtg,21,15,+6,1.32,Lost
G2,Movistar Riders, 16, 1,vtg,13,9,+4,1.43,Won
G2,Movistar Riders, 16, 12,inf,26,17,+9,1.39,Won
G2,Copenhagen Flames, 16, 5,nuke,20,16,+4,1.45,Won
G2,Copenhagen Flames, 16, 14,d2,26,17,+9,1.41,Won
G2,Copenhagen Flames, 6, 16,inf,7,16,-9,0.62,Won
G2,FaZe, 15, 19,d2,18,25,-7,0.74,Lost
G2,FaZe, 20, 22,mrg,31,29,+2,1.15,Lost
G2,GODSENT, 16, 6,vtg,7,12,-5,0.76,Won
G2,GODSENT, 16, 12,d2,28,19,+9,1.52,Won
G2,mousesports, 11, 16,trn,29,19,+10,1.72,Lost
G2,mousesports, 9, 16,nuke,20,19,+1,1.15,Lost
G2,Virtus.pro, 16, 8,d2,19,8,+11,1.30,Won
G2,Virtus.pro, 16, 6,mrg,24,10,+14,1.58,Won
G2,OG, 8, 16,d2,28,15,+13,1.68,Lost
G2,OG, 7, 16,mrg,13,17,-4,0.95,Lost
G2,FaZe, 16, 12,trn,31,18,+13,1.58,Won
G2,FaZe, 11, 16,d2,15,18,-3,0.88,Won
G2,FaZe, 16, 14,nuke,22,15,+7,1.22,Won
G2,TYLOO, 16, 3,vtg,18,13,+5,1.61,Won
G2,TYLOO, 14, 16,d2,22,20,+2,1.10,Won
G2,TYLOO, 16, 7,inf,17,14,+3,1.32,Won
G2,Natus Vincere, 2, 16,mrg,11,17,-6,0.97,Lost
