s1mple
Player's Team,Player's Opponent,Rounds Won,Rounds Lost,Map,Kills,Deaths,+/-,Rating,Outcome
Natus Vincere,G2, 16, 8,inf,19,14,+5,1.26,Won
Natus Vincere,G2, 16, 6,trn,21,10,+11,1.53,Won
Natus Vincere,Heroic, 16, 14,trn,24,17,+7,1.22,Won
Natus Vincere,Heroic, 16, 19,nuke,27,24,+3,1.05,Won
Natus Vincere,Heroic, 16, 6,ovp,28,11,+17,1.95,Won
Natus Vincere,OG, 16, 14,nuke,24,17,+7,1.35,Won
Natus Vincere,OG, 8, 16,ovp,21,16,+5,1.30,Won
Natus Vincere,OG, 16, 10,trn,32,18,+14,1.90,Won
Natus Vincere,AGO, 16, 13,nuke,29,19,+10,1.37,Won
Natus Vincere,AGO, 16, 9,mrg,36,13,+23,2.08,Won
Natus Vincere,BIG, 19, 17,nuke,34,21,+13,1.42,Won
Natus Vincere,BIG, 16, 11,d2,26,13,+13,1.61,Won
Natus Vincere,ENCE, 12, 16,d2,15,24,-9,0.88,Lost
Natus Vincere,ENCE, 9, 16,trn,20,18,+2,1.11,Lost
Natus Vincere,GODSENT, 16, 2,d2,17,7,+10,1.90,Won
Natus Vincere,GODSENT, 16, 13,nuke,36,19,+17,1.62,Won
Natus Vincere,NiP, 3, 16,trn,10,16,-6,0.71,Lost
Natus Vincere,NiP, 9, 16,ovp,21,17,+4,1.15,Lost
Natus Vincere,Complexity, 8, 16,nuke,17,18,-1,0.98,Lost
Natus Vincere,Complexity, 9, 16,d2,18,17,+1,1.15,Lost
Natus Vincere,mousesports, 16, 7,d2,22,13,+9,1.39,Won
Natus Vincere,mousesports, 16, 9,trn,26,12,+14,1.62,Won
Natus Vincere,mousesports, 10, 16,nuke,17,18,-1,0.89,Won
Natus Vincere,Spirit, 16, 9,d2,18,14,+4,1.29,Won
Natus Vincere,Spirit, 16, 9,mrg,20,10,+10,1.39,Won
Natus Vincere,Virtus.pro, 16, 4,trn,19,10,+9,1.57,Won
Natus Vincere,Virtus.pro, 16, 12,ovp,28,11,+17,1.64,Won
Natus Vincere,Virtus.pro, 17, 19,d2,20,19,+1,1.03,Won
Natus Vincere,Nemiga, 19, 16,nuke,15,21,-6,0.74,Won
Natus Vincere,Nemiga, 22, 20,d2,36,25,+11,1.37,Won
Natus Vincere,Nemiga, 11, 16,inf,21,13,+8,1.25,Won
Natus Vincere,Gambit Youngsters, 16, 8,trn,23,11,+12,1.42,Won
Natus Vincere,Gambit Youngsters, 19, 16,inf,23,22,+1,1.04,Won
Natus Vincere,Hard Legion, 16, 5,ovp,21,11,+10,1.60,Won
Natus Vincere,Hard Legion, 16, 2,trn,15,5,+10,1.55,Won
Natus Vincere,Gambit Youngsters, 11, 16,d2,18,20,-2,0.96,Lost
Natus Vincere,Gambit Youngsters, 16, 12,trn,21,17,+4,1.15,Lost
Natus Vincere,Gambit Youngsters, 17, 19,ovp,25,18,+7,1.14,Lost
Natus Vincere,Vitality, 11, 16,nuke,20,17,+3,1.09,Lost
Natus Vincere,Vitality, 6, 16,ovp,16,15,+1,1.08,Lost
Natus Vincere,Vitality, 16, 10,inf,12,14,-2,0.94,Lost
Natus Vincere,G2, 16, 13,nuke,29,16,+13,1.50,Won
Natus Vincere,G2, 11, 16,trn,19,18,+1,1.01,Won
Natus Vincere,G2, 16, 3,mrg,23,14,+9,1.74,Won
Natus Vincere,Complexity, 3, 16,mrg,12,17,-5,0.67,Lost
Natus Vincere,Complexity, 8, 16,d2,18,15,+3,0.98,Lost
Natus Vincere,Complexity, 16, 5,nuke,26,6,+20,1.82,Lost
Natus Vincere,NiP, 16, 9,nuke,21,15,+6,1.33,Won
Natus Vincere,NiP, 16, 13,mrg,25,16,+9,1.48,Won
Natus Vincere,FaZe, 11, 16,d2,18,13,+5,1.13,Lost
Natus Vincere,FaZe, 11, 16,mrg,20,17,+3,1.10,Lost
Natus Vincere,MAD Lions, 16, 7,ovp,24,15,+9,1.54,Won
Natus Vincere,MAD Lions, 16, 5,mrg,37,8,+29,2.77,Won
Natus Vincere,G2, 12, 16,d2,23,20,+3,1.17,Lost
Natus Vincere,G2, 19, 22,mrg,22,27,-5,0.86,Lost
Natus Vincere,mousesports, 15, 12,inf,16,19,-3,0.94,Won
Natus Vincere,mousesports, 10, 13,trn,18,15,+3,1.19,Won
Natus Vincere,mousesports, 11, 13,nuke,23,13,+10,1.47,Won
Natus Vincere,mousesports, 13, 3,d2,21,8,+13,2.12,Won
Natus Vincere,mousesports, 13, 11,mrg,21,13,+8,1.49,Won
Natus Vincere,FaZe, 15, 12,nuke,27,17,+10,1.36,Won
Natus Vincere,FaZe, 2, 13,vtg,12,14,-2,0.93,Won
Natus Vincere,FaZe, 13, 11,inf,28,12,+16,1.77,Won
Natus Vincere,NiP, 16, 14,nuke,27,18,+9,1.39,Won
