smooya
Player's Team,Player's Opponent,Rounds Won,Rounds Lost,Map,Kills,Deaths,+/-,Rating,Outcome
c0ntact,mousesports, 14, 16,trn,27,19,+8,1.21,Lost
c0ntact,mousesports, 16, 14,nuke,17,19,-2,1.07,Lost
c0ntact,mousesports, 24, 28,mrg,33,34,-1,0.98,Lost
c0ntact,Heretics, 19, 17,nuke,25,20,+5,1.08,Won
c0ntact,Heretics, 16, 6,mrg,25,9,+16,1.82,Won
c0ntact,Tricked, 16, 10,mrg,19,15,+4,1.32,Won
c0ntact,Tricked, 16, 5,inf,21,8,+13,1.65,Won
c0ntact,AVEZ, 11, 16,trn,26,20,+6,1.39,Lost
c0ntact,AVEZ, 15, 19,vtg,25,21,+4,1.00,Lost
c0ntact,AVEZ, 16, 6,mrg,13,11,+2,1.14,Lost
c0ntact,AVEZ, 4, 16,mrg,7,17,-10,0.48,Lost
c0ntact,AVEZ, 11, 16,ovp,22,19,+3,1.16,Lost
c0ntact,Espada, 11, 16,inf,17,16,+1,0.99,Lost
Chaos,TeamOne, 13, 16,ovp,18,20,-2,0.97,Lost
Chaos,TeamOne, 19, 17,mrg,37,25,+12,1.56,Lost
Chaos,TeamOne, 13, 16,nuke,14,23,-9,0.85,Lost
Chaos,Mythic, 16, 9,inf,30,13,+17,1.91,Won
Chaos,Mythic, 16, 13,ovp,26,18,+8,1.40,Won
Chaos,Triumph, 7, 16,ovp,20,15,+5,1.18,Lost
Chaos,Triumph, 16, 19,inf,22,23,-1,0.92,Lost
Chaos,In The Lab, 16, 1,d2,18,6,+12,1.56,Won
Chaos,Monstars, 16, 12,inf,30,19,+11,1.64,Won
Chaos,Big Frames, 16, 13,ovp,31,19,+12,1.54,Won
Chaos,Oceanus, 16, 8,d2,23,11,+12,1.64,Won
Chaos,MIBR, 16, 14,nuke,25,19,+6,1.27,Won
Chaos,MIBR, 16, 6,trn,23,10,+13,1.52,Won
Chaos,Triumph, 8, 16,nuke,27,18,+9,1.51,Lost
Chaos,TeamOne, 16, 3,inf,13,11,+2,1.38,Won
Chaos,Thunder Logic, 16, 12,nuke,22,14,+8,1.15,Won
Chaos,New England Whalers, 16, 10,nuke,22,9,+13,1.38,Won
Chaos,District 7, 16, 13,mrg,23,17,+6,1.41,Won
Chaos,Swole Identity, 14, 16,d2,17,20,-3,0.96,Lost
Chaos,Infinity, 16, 8,d2,28,11,+17,1.92,Won
Chaos,ex-eUnited, 16, 13,nuke,25,17,+8,1.29,Won
Chaos,Envy, 10, 16,ovp,18,19,-1,1.15,Lost
Chaos,Envy, 16, 19,d2,23,22,+1,1.13,Lost
Chaos,Envy, 22, 18,mrg,31,27,+4,1.32,Lost
Chaos,LiViD, 16, 11,nuke,18,16,+2,1.07,Won
Chaos,LiViD, 16, 8,ovp,25,11,+14,1.67,Won
Chaos,Mythic, 7, 16,mrg,22,18,+4,1.26,Lost
Chaos,Mythic, 16, 11,nuke,19,15,+4,1.24,Lost
Chaos,Mythic, 7, 16,ovp,28,14,+14,1.70,Lost
Chaos,Orgless, 11, 16,inf,15,17,-2,0.90,Lost
Chaos,Orgless, 16, 12,nuke,18,20,-2,0.93,Lost
Chaos,Orgless, 6, 16,ovp,17,16,+1,1.20,Lost
Chaos,Copenhagen Flames, 16, 2,inf,20,8,+12,1.87,Won
Chaos,Copenhagen Flames, 12, 16,nuke,30,12,+18,1.73,Won
Chaos,Copenhagen Flames, 16, 10,mrg,22,15,+7,1.30,Won
Chaos,Redemption POA, 16, 5,inf,17,10,+7,1.42,Won
Chaos,Redemption POA, 16, 11,ovp,28,17,+11,1.78,Won
Chaos,HAVU, 26, 28,ovp,41,37,+4,1.14,Lost
Chaos,Bad News Bears, 9, 16,d2,20,17,+3,1.15,Lost
Chaos,Divine, 16, 11,ovp,23,18,+5,1.40,Won
Chaos,Under 21, 10, 16,nuke,21,16,+5,1.16,Lost
Chaos,Mythic, 16, 12,d2,20,16,+4,1.20,Won
Chaos,Rugratz, 19, 16,ovp,37,23,+14,1.64,Won
Chaos,eUnited, 16, 11,ovp,33,14,+19,1.94,Won
Chaos,eUnited, 16, 8,d2,27,12,+15,1.74,Won
Chaos,Yeah, 16, 12,inf,23,13,+10,1.43,Won
Chaos,Yeah, 16, 13,nuke,25,18,+7,1.46,Won
Chaos,Swole Identity, 16, 4,d2,24,11,+13,1.79,Won
Chaos,Swole Identity, 16, 6,mrg,21,7,+14,1.79,Won
Chaos,Swole Identity, 9, 16,nuke,18,17,+1,1.05,Won
Chaos,Orgless, 25, 23,nuke,41,29,+12,1.36,Won
Chaos,Orgless, 16, 19,inf,23,19,+4,1.07,Won
Chaos,Orgless, 16, 13,ovp,20,18,+2,1.16,Won
Chaos,Station7, 16, 0,nuke,11,5,+6,1.54,Won
Chaos,Singularity, 9, 16,ovp,12,20,-8,0.65,Lost
Chaos,Singularity, 7, 16,nuke,19,18,+1,1.10,Lost
Chaos,Gen.G, 5, 16,inf,10,18,-8,0.57,Lost
Chaos,Gen.G, 16, 9,mrg,23,16,+7,1.37,Lost
Chaos,Gen.G, 8, 16,trn,28,18,+10,1.64,Lost
Chaos,New England Whalers, 16, 12,nuke,20,19,+1,1.27,Won
Chaos,New England Whalers, 14, 16,d2,28,17,+11,1.41,Won
Chaos,New England Whalers, 16, 11,inf,26,11,+15,1.64,Won
Chaos,New England Whalers, 16, 10,d2,21,14,+7,1.22,Won
Chaos,New England Whalers, 16, 13,inf,23,17,+6,1.30,Won
Chaos,eUnited, 11, 16,vtg,13,18,-5,0.79,Lost
Chaos,eUnited, 3, 16,inf,9,16,-7,0.73,Lost
Chaos,New England Whalers, 16, 3,inf,23,5,+18,2.20,Won
Chaos,New England Whalers, 16, 4,nuke,22,10,+12,1.66,Won
BIG,Movistar Riders, 14, 16,mrg,20,23,-3,1.02,Lost
BIG,Movistar Riders, 10, 16,ovp,11,14,-3,0.82,Lost
BIG,KPI, 16, 13,mrg,26,18,+8,1.32,Won
BIG,KPI, 16, 14,nuke,12,24,-12,0.59,Won
BIG,KPI, 13, 16,inf,22,22,0,1.23,Won
BIG,Spirit, 15, 19,mrg,23,20,+3,1.05,Lost
BIG,Spirit, 16, 10,nuke,19,16,+3,1.10,Lost
BIG,Spirit, 11, 16,d2,25,19,+6,1.39,Lost
BIG,G2, 12, 16,inf,26,11,+15,1.53,Lost
BIG,Movistar Riders, 16, 19,ovp,24,26,-2,0.95,Lost
BIG,Movistar Riders, 15, 19,mrg,21,29,-8,0.72,Lost
BIG,North, 16, 19,nuke,24,22,+2,1.03,Lost
BIG,Heroic, 10, 16,nuke,14,21,-7,0.68,Lost
BIG,Heroic, 13, 16,mrg,19,18,+1,1.05,Lost
BIG,Sprout, 16, 11,mrg,26,17,+9,1.28,Won
BIG,Sprout, 16, 1,nuke,16,5,+11,1.73,Won
BIG,MELBET, 16, 13,nuke,23,19,+4,1.14,Won
BIG,Secret, 16, 12,nuke,13,16,-3,0.86,Won
BIG,Brute, 16, 10,mrg,15,13,+2,0.96,Won
BIG,Brute, 16, 14,nuke,28,17,+11,1.54,Won
BIG,Copenhagen Flames, 16, 13,mrg,17,15,+2,0.88,Won
BIG,Copenhagen Flames, 16, 10,inf,20,16,+4,1.20,Won
BIG,Hard Legion, 4, 16,trn,8,16,-8,0.70,Lost
BIG,Hard Legion, 13, 16,inf,20,16,+4,1.05,Lost
BIG,ex-Windigo, 16, 12,mrg,12,22,-10,0.71,Won
BIG,ex-Windigo, 19, 16,d2,25,24,+1,0.98,Won
BIG,G2, 6, 16,d2,13,18,-5,0.74,Lost
BIG,G2, 12, 16,inf,13,18,-5,0.78,Lost
BIG,NiP, 16, 19,nuke,36,25,+11,1.36,Lost
BIG,NiP, 1, 16,trn,12,14,-2,0.83,Lost
BIG,North, 21, 25,nuke,26,31,-5,0.85,Lost
BIG,North, 14, 16,trn,15,19,-4,0.89,Lost
BIG,North, 16, 7,mrg,15,14,+1,1.19,Lost
BIG,SMASH, 16, 5,nuke,11,12,-1,0.95,Won
BIG,SMASH, 16, 10,inf,13,15,-2,0.85,Won
BIG,Virtus.pro, 25, 21,ovp,42,29,+13,1.44,Won
BIG,Virtus.pro, 16, 12,nuke,21,18,+3,1.13,Won
BIG,GamerLegion, 19, 17,d2,23,22,+1,0.96,Won
BIG,GamerLegion, 16, 12,trn,19,19,0,0.96,Won
BIG,GamerLegion, 18, 22,ovp,33,29,+4,1.08,Won
BIG,Illuminar, 16, 1,mrg,14,4,+10,1.51,Won
BIG,Illuminar, 16, 2,nuke,22,6,+16,1.99,Won
BIG,Illuminar, 14, 16,trn,11,16,-5,0.70,Won
BIG,Nordavind, 16, 10,d2,22,16,+6,1.24,Won
BIG,Nordavind, 16, 12,ovp,20,16,+4,1.18,Won
BIG,fnatic, 11, 16,trn,13,18,-5,0.79,Lost
BIG,fnatic, 11, 16,inf,14,21,-7,0.74,Lost
BIG,Astralis, 14, 16,trn,18,16,+2,1.11,Lost
BIG,Astralis, 16, 11,d2,13,18,-5,0.84,Lost
BIG,Astralis, 3, 16,nuke,17,15,+2,0.96,Lost
BIG,Tricked, 16, 2,d2,17,8,+9,1.61,Won
BIG,Tricked, 16, 9,ovp,22,13,+9,1.33,Won
BIG,North, 16, 4,inf,11,6,+5,1.36,Won
BIG,North, 16, 6,mrg,17,9,+8,1.43,Won
BIG,NiP, 3, 16,nuke,11,17,-6,0.66,Lost
BIG,NiP, 16, 9,inf,12,18,-6,0.68,Lost
BIG,NiP, 8, 16,mrg,13,18,-5,0.73,Lost
