sterling
Player's Team,Player's Opponent,Rounds Won,Rounds Lost,Map,Kills,Deaths,+/-,Rating,Outcome
AVANT,Caught off Guard, 16, 5,mrg,16,12,+4,1.30,Won
AVANT,ORDER, 10, 16,trn,16,18,-2,0.87,Lost
AVANT,ORDER, 2, 16,inf,9,17,-8,0.46,Lost
AVANT,Mako, 16, 9,d2,23,16,+7,1.45,Won
AVANT,Forbidden, 16, 3,d2,13,9,+4,1.20,Won
AVANT,Rooster 2, 16, 6,d2,24,9,+15,1.91,Won
AVANT,Overt, 16, 0,d2,16,6,+10,1.55,Won
AVANT,LAKERS, 16, 1,mrg,8,10,-2,0.93,Won
AVANT,Blessed, 16, 10,trn,27,13,+14,1.58,Won
AVANT,Renegades, 13, 16,mrg,26,18,+8,1.33,Lost
AVANT,Renegades, 10, 16,d2,14,18,-4,0.85,Lost
AVANT,ORDER, 22, 18,trn,32,25,+7,1.22,Won
AVANT,ORDER, 13, 16,nuke,26,16,+10,1.35,Won
AVANT,ORDER, 16, 11,d2,27,15,+12,1.57,Won
AVANT,Chiefs, 16, 10,nuke,27,14,+13,1.63,Won
AVANT,Chiefs, 16, 11,d2,27,11,+16,1.82,Won
AVANT,ORDER, 13, 16,d2,26,21,+5,1.32,Lost
AVANT,ORDER, 16, 7,mrg,15,13,+2,1.08,Lost
AVANT,ORDER, 6, 16,nuke,11,18,-7,0.65,Lost
AVANT,Renegades, 4, 16,mrg,15,14,+1,0.87,Lost
AVANT,Renegades, 9, 16,nuke,18,18,0,1.05,Lost
AVANT,Rooster, 13, 16,nuke,16,21,-5,0.81,Lost
AVANT,Rooster, 16, 9,inf,24,14,+10,1.24,Lost
AVANT,Rooster, 16, 14,mrg,18,21,-3,0.90,Lost
AVANT,Rooster, 5, 16,d2,14,18,-4,0.76,Lost
AVANT,TRUCKERS WITH ATTITUDE, 16, 8,inf,23,13,+10,1.53,Won
AVANT,TRUCKERS WITH ATTITUDE, 16, 10,ovp,13,14,-1,0.95,Won
AVANT,TRUCKERS WITH ATTITUDE, 6, 16,d2,16,19,-3,0.95,Won
AVANT,Rooster, 14, 16,nuke,22,23,-1,1.16,Lost
AVANT,Rooster, 13, 16,inf,24,21,+3,1.21,Lost
AVANT,Rooster, 16, 8,mrg,24,13,+11,1.62,Lost
AVANT,Paradox, 16, 19,inf,24,23,+1,1.10,Lost
AVANT,Paradox, 9, 16,mrg,18,17,+1,1.01,Lost
AVANT,Renegades, 11, 16,d2,17,21,-4,0.86,Lost
AVANT,Renegades, 12, 16,mrg,17,20,-3,0.97,Lost
AVANT,Renegades, 16, 13,nuke,20,21,-1,1.22,Lost
AVANT,ORDER, 16, 7,inf,19,12,+7,1.42,Won
AVANT,ORDER, 16, 13,trn,20,19,+1,1.00,Won
AVANT,Rooster, 16, 10,inf,23,16,+7,1.44,Won
AVANT,Rooster, 16, 13,d2,28,15,+13,1.59,Won
AVANT,Rooster, 9, 16,mrg,24,17,+7,1.25,Won
AVANT,ORDER, 5, 16,mrg,5,18,-13,0.42,Lost
AVANT,ORDER, 11, 16,trn,19,16,+3,1.09,Lost
AVANT,Paradox, 16, 13,mrg,30,22,+8,1.44,Won
AVANT,Paradox, 16, 5,nuke,24,13,+11,1.69,Won
AVANT,ORDER, 8, 16,nuke,9,15,-6,0.69,Lost
AVANT,ORDER, 7, 16,trn,11,21,-10,0.65,Lost
AVANT,ORDER, 14, 16,mrg,23,21,+2,1.09,Lost
AVANT,ORDER, 19, 17,inf,28,21,+7,1.21,Won
AVANT,ORDER, 16, 12,nuke,28,14,+14,1.70,Won
