vsm
Player's Team,Player's Opponent,Rounds Won,Rounds Lost,Map,Kills,Deaths,+/-,Rating,Outcome
DETONA,Real Betis SA, 6, 16,mrg,15,19,-4,0.88,Lost
DETONA,e-Galo, 16, 12,trn,22,18,+4,1.31,Won
DETONA,Isurus, 16, 9,inf,18,13,+5,1.21,Won
DETONA,RED Canids, 16, 13,vtg,22,18,+4,1.26,Won
DETONA,W7M, 16, 12,d2,25,14,+11,1.48,Won
DETONA,Bravos, 16, 13,d2,25,23,+2,1.30,Won
DETONA,9z, 13, 16,trn,22,21,+1,1.06,Lost
DETONA,Sharks, 9, 16,trn,19,20,-1,1.05,Lost
DETONA,Keyd, 16, 8,inf,16,14,+2,1.22,Won
DETONA,Isurus, 14, 16,d2,22,21,+1,1.05,Lost
DETONA,Isurus, 13, 16,mrg,13,25,-12,0.70,Lost
DETONA,Isurus, 13, 16,nuke,20,23,-3,1.03,Lost
DETONA,Isurus, 16, 8,trn,21,16,+5,1.27,Lost
DETONA,Sharks, 6, 16,mrg,10,20,-10,0.61,Lost
DETONA,Sharks, 16, 8,inf,26,13,+13,1.63,Lost
DETONA,Sharks, 15, 19,nuke,25,24,+1,1.13,Lost
DETONA,Isurus, 14, 16,trn,20,23,-3,0.97,Lost
DETONA,Isurus, 8, 16,mrg,17,18,-1,0.95,Lost
DETONA,W7M, 16, 13,nuke,19,19,0,1.04,Won
DETONA,W7M, 16, 8,inf,20,17,+3,1.42,Won
DETONA,Bravos, 16, 8,nuke,17,14,+3,1.29,Tied
DETONA,Bravos, 17, 19,d2,29,24,+5,1.25,Tied
DETONA,W7M, 13, 16,d2,15,22,-7,0.88,Lost
DETONA,W7M, 14, 16,inf,13,22,-9,0.81,Lost
DETONA,Keyd, 4, 16,vtg,10,16,-6,0.69,Tied
DETONA,Keyd, 19, 15,inf,30,26,+4,1.27,Tied
DETONA,Isurus, 16, 9,inf,36,15,+21,2.31,Tied
DETONA,Isurus, 11, 16,trn,24,17,+7,1.37,Tied
DETONA,RED Canids, 14, 16,nuke,25,22,+3,1.10,Lost
DETONA,RED Canids, 9, 16,trn,16,22,-6,0.83,Lost
DETONA,BIG, 10, 16,mrg,11,20,-9,0.61,Lost
DETONA,BIG, 8, 16,inf,17,16,+1,0.94,Lost
DETONA,Orgless, 12, 16,d2,14,19,-5,0.88,Lost
DETONA,Orgless, 4, 16,trn,4,19,-15,0.29,Lost
DETONA,BIG, 16, 11,d2,27,15,+12,1.66,Won
DETONA,Alma, 17, 19,trn,36,24,+12,1.45,Tied
DETONA,Alma, 16, 6,inf,16,12,+4,1.15,Tied
DETONA,Redemption POA, 2, 16,inf,9,17,-8,0.67,Lost
DETONA,Redemption POA, 12, 16,vtg,24,24,0,1.15,Lost
DETONA,Redemption POA, 16, 6,nuke,18,11,+7,1.32,Lost
DETONA,W7M, 19, 15,d2,33,20,+13,1.42,Won
DETONA,W7M, 16, 14,nuke,29,19,+10,1.39,Won
